P,mu_g,Tgran,seed,chi,chi_sd,ncon,nframe
50.0,0.05,0.025,1,0.1185872007726926,0.0030898593817388336,8646,9
50.0,0.05,0.025,2,0.12256829835394106,0.002694783024445191,8633,9
50.0,0.05,0.025,3,0.12004039988731224,0.0035829268928128355,8636,9
50.0,0.05,0.025,4,0.1196943740168912,0.0030453548681945936,8632,9
50.0,0.05,0.065,1,0.1815409859676151,0.0070430938026821285,8638,9
50.0,0.05,0.065,2,0.17887386242730113,0.004652756772639701,8628,9
50.0,0.05,0.065,3,0.18435530523200716,0.0038183326825556208,8630,9
50.0,0.05,0.065,4,0.18574150035201045,0.003582307383879438,8620,9
50.0,0.05,0.15,1,0.2464071645331748,0.004643855618079006,8536,9
50.0,0.05,0.15,2,0.24297881497221038,0.0051186242471867975,8561,9
50.0,0.05,0.15,3,0.24819064322416373,0.003885365660523859,8548,9
50.0,0.05,0.15,4,0.24842967202114685,0.005608082754299544,8554,9
50.0,0.05,0.3,1,0.3073223812727236,0.004485483028917929,8415,9
50.0,0.05,0.3,2,0.3073043690379475,0.005054652441326365,8397,9
50.0,0.05,0.3,3,0.3066767815298028,0.004807880327477394,8404,9
50.0,0.05,0.3,4,0.30631300977370013,0.003208082580002704,8405,9
50.0,0.05,0.6,1,0.3719156079959956,0.004616935741522036,8147,9
50.0,0.05,0.6,2,0.3702988137802887,0.004371414835931238,8129,9
50.0,0.05,0.6,3,0.37197334483584404,0.005245657948832849,8133,9
50.0,0.05,0.6,4,0.3726133630334532,0.004168365587869045,8140,9
50.0,0.05,1.25,1,0.4422636291251971,0.004145179484594483,7627,9
50.0,0.05,1.25,2,0.43959406521319166,0.008472257325607342,7658,9
50.0,0.05,1.25,3,0.4409569542357033,0.006533457719131596,7613,9
50.0,0.05,1.25,4,0.44360787922255657,0.0052452602237636065,7636,9
50.0,0.15,0.0075,1,0.03607899298265303,0.0028032400498780572,8025,9
50.0,0.15,0.0075,2,0.03629636641453953,0.0018258418213347217,8044,9
50.0,0.15,0.0075,3,0.03832411337062666,0.00310711689382703,8042,9
50.0,0.15,0.0075,4,0.03586117145402584,0.0027369269524160035,8031,9
50.0,0.15,0.005,1,0.038178348895916495,0.0029736471908722957,8002,9
50.0,0.15,0.005,2,0.03785122611729594,0.00303661565239365,7999,9
50.0,0.15,0.005,3,0.03923874753116573,0.0030049217784427654,8016,9
50.0,0.15,0.005,4,0.03665552346349803,0.0017505782285089815,7984,9
50.0,0.15,0.015,1,0.040306829944841124,0.0018768352837698298,8085,9
50.0,0.15,0.015,2,0.03971808183173178,0.002647965286178698,8102,9
50.0,0.15,0.015,3,0.038056578607723365,0.002001600010825223,8136,9
50.0,0.15,0.015,4,0.04063652078868714,0.0024852321107542426,8105,9
50.0,0.15,0.025,1,0.04370419004383584,0.0021368103851163627,8181,9
50.0,0.15,0.025,2,0.0425069326469607,0.000714373408165711,8173,9
50.0,0.15,0.025,3,0.04484513484100694,0.002226254879327802,8193,9
50.0,0.15,0.025,4,0.045268766309017314,0.0023520687321542505,8165,9
50.0,0.15,0.065,1,0.06317019133211264,0.002990059022930625,8350,9
50.0,0.15,0.065,2,0.06292993994525807,0.0021945380193228413,8330,9
50.0,0.15,0.065,3,0.06519607143473895,0.003077884200108358,8323,9
50.0,0.15,0.065,4,0.06452044260296767,0.002335394028305888,8331,9
50.0,0.15,0.15,1,0.09296826323808932,0.00322332098053582,8447,9
50.0,0.15,0.15,2,0.09466276205299745,0.003028914013913532,8431,9
50.0,0.15,0.15,3,0.09523671271237856,0.0028228044722768413,8452,9
50.0,0.15,0.15,4,0.09569459767610246,0.0016046189500065107,8413,9
50.0,0.15,0.3,1,0.13379126510628309,0.004708617584415768,8390,9
50.0,0.15,0.3,2,0.13297599448498396,0.0025149523655022717,8415,9
50.0,0.15,0.3,3,0.1328305120354792,0.0032213046157262447,8383,9
50.0,0.15,0.3,4,0.13606881509141674,0.0043019073710805185,8403,9
50.0,0.15,0.6,1,0.18288155975549805,0.0031364657484948292,8207,9
50.0,0.15,0.6,2,0.17875040195635916,0.005182755225360213,8234,9
50.0,0.15,0.6,3,0.18131012523404205,0.005558330996274379,8224,9
50.0,0.15,0.6,4,0.1816563726392378,0.0029633461581153025,8240,9
50.0,0.15,1.25,1,0.23931847530200548,0.0025533228358857614,7800,9
50.0,0.15,1.25,2,0.23783710883875775,0.006452754313693509,7824,9
50.0,0.15,1.25,3,0.23752545139412692,0.004288870969795725,7787,9
50.0,0.15,1.25,4,0.24078606716271203,0.004237420791076521,7782,9
50.0,0.1,0.0075,1,0.04672029661511703,0.002656167290191575,8281,9
50.0,0.1,0.0075,2,0.04802920748184697,0.003554916505323618,8275,9
50.0,0.1,0.0075,3,0.04644668531551219,0.0037721262523165862,8308,9
50.0,0.1,0.0075,4,0.047257286713474844,0.002849628792121083,8297,9
50.0,0.1,0.005,1,0.04737821475944823,0.004175215742589131,8267,9
50.0,0.1,0.005,2,0.04492965858706517,0.0023982056920438233,8252,9
50.0,0.1,0.005,3,0.04577067550187223,0.002674630504243547,8250,9
50.0,0.1,0.005,4,0.04746804704038244,0.0060487860972838585,8265,9
50.0,0.1,0.015,1,0.05357886537611135,0.0027992693926309022,8323,9
50.0,0.1,0.015,2,0.055766232721870326,0.0038261636332684594,8351,9
50.0,0.1,0.015,3,0.05495947235803639,0.0024241381259335975,8383,9
50.0,0.1,0.015,4,0.05185100163347895,0.00286020336050193,8365,9
