mu_g,Tgran,seed,mu,a_c,a_n,a_t,f_mean,cv_f,pr_f,ncon,chi,E
0.3,0.0005,1,0.19816627030976228,0.08038151456436392,0.31766280504048583,-0.0017117738706836402,14.66572276811921,0.6763741419930743,0.6861406508986011,8003.65,0.007195924349796798,100000.0
0.3,0.0005,2,0.2458582579209324,0.14798502136321873,0.34414006416132575,-0.00040856374023666073,13.776545800290627,0.7020947043861613,0.6704728476142627,7739.526315789473,0.010278377398413065,100000.0
0.3,0.0015,1,0.26255327451168453,0.19722874990345718,0.2881905112012752,0.0396872836486869,10.797033016827596,0.76918310735453,0.6283055991465215,6953.5,0.0356565626795606,100000.0
0.3,0.0015,2,0.25982816419957194,0.20420602155058648,0.2761566629490334,0.03929364316002669,10.917696990683828,0.7581401586654509,0.6350344576230808,6974.35,0.03420706394812588,100000.0
0.3,0.001,1,0.271638849775296,0.20910453146913363,0.2898349591115911,0.04433820641770982,10.936533233807076,0.7611107104818926,0.6332143144025236,6922.4,0.03635082344382755,100000.0
0.3,0.001,2,0.2657871054160049,0.20413824714581943,0.28215622756855907,0.04527973980399407,10.947215417795082,0.7550273841124278,0.6369372484004178,6937.4,0.035017210840551996,100000.0
0.3,0.003,1,0.25465940749220584,0.18943336271657216,0.2822116732026021,0.03767377305746969,10.68901947927006,0.7626630606794426,0.6322602020752309,7060.15,0.03556898237192535,100000.0
0.3,0.003,2,0.2555369337043637,0.19577481823740375,0.2788018089621949,0.03649724094034607,10.705087188325551,0.7560592203722208,0.6363156304473945,7052.2,0.03442778179384313,100000.0
0.3,0.005,1,0.24230589438074412,0.1835718212969774,0.2684823585378634,0.03255760268394058,10.540040619869545,0.7578487629929677,0.6352230272342537,7134.3,0.0378496255996217,100000.0
0.3,0.005,2,0.2469387553787628,0.1915673853249405,0.2699483647436361,0.032361758851418586,10.55592743650989,0.7551450050905701,0.6368607839072588,7132.95,0.037858042932657036,100000.0
0.3,0.008,1,0.23268326304727865,0.18027047753154363,0.25863832171752094,0.02645773065798699,10.48327258919137,0.7452194676908085,0.6429479882390076,7209.45,0.042347840882632916,100000.0
0.3,0.008,2,0.23471947305019464,0.17966999439736042,0.2623515109368991,0.02741744166405554,10.33387973547487,0.7510998546614907,0.6393489178643692,7219.75,0.042665919948044105,100000.0
0.3,0.013,1,0.22531682119881896,0.17504899490019868,0.2539339736133897,0.02165067091160121,10.158748963425376,0.7370844681038295,0.6479751883111928,7362.55,0.049226494170570366,100000.0
0.3,0.013,2,0.22104781065929355,0.1698119408225293,0.25048062952865374,0.021803051655526116,10.230983066016867,0.7493297373958356,0.6404273886860943,7346.75,0.05030650675908421,100000.0
0.3,0.02,1,0.20373559090210805,0.16094528619205903,0.23033465732096897,0.01619123564828817,10.076226891524028,0.7315392999880218,0.6514247064558625,7450.15,0.0574367785805438,100000.0
0.3,0.02,2,0.205722044675414,0.15810424858073335,0.23647080282191854,0.016869033907578126,10.088110010358685,0.7323011501112723,0.6509432349629038,7433.55,0.05874055153559021,100000.0
0.3,0.03,1,0.18575559826596338,0.1444910328547509,0.21578131835685882,0.011238846379108465,9.898532109235912,0.7172935763902026,0.6602973330775211,7507.3,0.07053340514558448,100000.0
0.3,0.03,2,0.1848990319241251,0.14698009141390983,0.2121251265721519,0.01069284331920018,9.93121240976497,0.7158351792862891,0.6612039160326015,7511.75,0.06840184483461745,100000.0
1.0,0.0005,1,0.5378832083830167,0.6747909154440065,0.3814681705646126,0.01950733242610044,7.719139466336674,0.8645357976045156,0.5726952194333031,5369.857142857143,0.01151383109141801,100000.0
1.0,0.0005,2,0.20128246031154556,0.09390579372042711,0.3091144669921398,-0.0004553375285669633,14.681914734382454,0.6894720097657859,0.6778189671266488,7811.35,0.0023346764487240873,100000.0
1.0,0.0015,1,0.2849053513442602,0.2279654134376096,0.24929098817721465,0.09255429917045795,12.984976079836798,0.7451399958342805,0.6430171420289263,5941.5,0.010651023834582458,100000.0
1.0,0.0015,2,0.2855085522175567,0.23111379431217838,0.2417764600613849,0.09812685315515998,13.154546585991735,0.7370025297385123,0.6480411768518561,5963.65,0.010733816253895825,100000.0
1.0,0.001,1,0.28490886878548294,0.23175699215414589,0.2397729882469069,0.09828775863010678,12.98960260305031,0.735960543239527,0.6486859781237222,5944.15,0.010830518454084483,100000.0
1.0,0.001,2,0.2710074278077935,0.21746845330119502,0.23636134843668302,0.08818505489735638,12.962710135770985,0.7346662164153182,0.6495007583687289,5929.6,0.011051339744185646,100000.0
1.0,0.003,1,0.27540504938051724,0.2179746468584966,0.24563007838646705,0.08720537936859227,12.577846357933748,0.7600076484267039,0.6338938178937986,5998.05,0.011821429579335335,100000.0
1.0,0.003,2,0.2863123924347673,0.22885197151140796,0.25301342052809134,0.09075939484901521,12.84458434209677,0.7456357670857473,0.6427033090245493,6004.8,0.011023921318321741,100000.0
1.0,0.005,1,0.2762834824424624,0.22335108332487447,0.2481110414528517,0.08110484201415664,12.861065290197905,0.7494207519086753,0.6403835840304433,6056.35,0.012796761556162994,100000.0
1.0,0.005,2,0.2827937425826957,0.22660488386994831,0.25296414574299514,0.0860184602712332,12.714499593053443,0.7495233171879696,0.6403058108803756,6060.9,0.01244959053639419,100000.0
1.0,0.008,1,0.2741293981765589,0.22040847707023792,0.2560270522610132,0.07182326266668113,12.627233504586242,0.7611593360213189,0.6331970517141684,6127.25,0.014148621593421123,100000.0
1.0,0.008,2,0.2772665148008556,0.2172495031283353,0.2583642770893424,0.07891924814125875,12.346071106433287,0.7563039746707287,0.6361621988227179,6104.2,0.014077757811039395,100000.0
1.0,0.013,1,0.2701515821604465,0.21952417551490258,0.251502983856699,0.06927599657615664,12.181559957214796,0.7634665789118942,0.6317820507985235,6245.4,0.016765242860772,100000.0
1.0,0.013,2,0.2681041685256419,0.21828043436976716,0.24568616988600409,0.07224173391612931,12.143682796554232,0.7632136100954849,0.6319600890507011,6226.3,0.017332583639969115,100000.0
1.0,0.02,1,0.26226948627665514,0.20915145294032125,0.2556536662536518,0.059733855555917204,12.006502754905222,0.7699693294645951,0.6278266048019107,6365.0,0.019111581561667874,100000.0
1.0,0.02,2,0.26795735882550853,0.21272112677549462,0.261679414673932,0.061514180017626575,12.0124558119536,0.7726492399682805,0.6261968987330835,6361.8,0.019928955883003797,100000.0
1.0,0.03,1,0.2589380351248919,0.21518472064807725,0.24894952929085262,0.05374181819404724,11.702456094012343,0.7655740699509093,0.6304962035261592,6481.2,0.02306104942100971,100000.0
1.0,0.03,2,0.2529468297154741,0.20453702016899272,0.24682763972574823,0.05452899566598411,11.778706607306258,0.7763641266555541,0.6239705724577406,6484.85,0.023864666616769913,100000.0
0.1,0.0005,1,0.2087663616867148,0.1480076272663685,0.26449512154075355,0.005029974181116856,11.24737990710048,0.702656741116217,0.6700787550504104,7292.46,0.07896362235974977,1000000.0
0.1,0.0005,2,0.23441976064381506,0.1670920312863966,0.29795023328845693,0.0037972586205057756,9.038252205114727,0.7676148203613795,0.6298752090054278,7057.22,0.14757812916599175,1000000.0
