mu_g,Tgran,seed,mu,a_c,a_n,a_t,f_mean,cv_f,pr_f,ncon,chi
0.17,0.001,1,0.23395555809928775,0.176371174636673,0.2681830970870013,0.023356836100792942,10.124453571767187,0.7480853218729895,0.6411845780113965,7427.55,0.04858816403003098
0.17,0.001,2,0.2363996758471545,0.18241584223542337,0.2668935508258013,0.023489962262724866,10.11731501344185,0.7371696701804101,0.6479342478748212,7429.7,0.04836771567887259
0.17,0.003,1,0.21055617770676144,0.16068153551640224,0.2423722194936297,0.018058601265711377,9.972677039034894,0.7279772680986165,0.6536459780446473,7535.35,0.0499320397509047
0.17,0.003,2,0.21789556345307023,0.1664745959381842,0.25253175397214306,0.016784776890871857,9.932072690044818,0.7293081602746694,0.6528122994278303,7535.45,0.05219674252158735
0.17,0.005,1,0.20165415472791043,0.15626334496409866,0.2336012773415374,0.013443692630969114,9.809250106252644,0.7267437898833682,0.6543957750342975,7618.95,0.0582249167524714
0.17,0.005,2,0.20277144125544191,0.15239813844047354,0.2401043667744826,0.013040377730582059,9.811074307248727,0.7211526720847677,0.6578844313833777,7629.35,0.05722070789507251
0.17,0.008,1,0.18963727128933733,0.14652110227322607,0.22217804599048585,0.010575400365676686,9.701105163459069,0.7182653215358451,0.659689865147414,7678.2,0.0668272757524663
0.17,0.008,2,0.1891720516726671,0.14455753870227292,0.22348141763461965,0.010305143726475386,9.812519087767429,0.7189446342043535,0.6592589278517944,7684.9,0.06754602342215542
0.17,0.013,1,0.16964861809752838,0.13398454822208702,0.19885696264811834,0.006455724858244599,9.584305314860732,0.7090484972196791,0.6654543548213383,7764.2,0.08297743476244243
0.17,0.013,2,0.17162667155086023,0.13422792912105594,0.20214448897279214,0.0068809234214461295,9.63899281417346,0.7071287114031116,0.6666620422080886,7745.75,0.08213847380499185
0.17,0.02,1,0.15901944314791316,0.12444752541095147,0.18889942183008976,0.004691937496126422,9.552418711908029,0.6961770568785278,0.6735689737655292,7804.55,0.09942139198325528
0.17,0.02,2,0.15535647792518234,0.12513368512801443,0.18119100594303608,0.0043882683381031694,9.564922376448804,0.6957768213120216,0.6738245089269992,7788.65,0.09952176849273764
0.17,0.03,1,0.13769361957493123,0.11509089250387775,0.15711374019978563,0.0031826070131290816,9.588710777696296,0.687110706804798,0.6792976960977446,7802.6,0.12011291133311856
0.17,0.03,2,0.13898598783525523,0.11563745316894283,0.15889688816931222,0.003437629328207026,9.595251823572571,0.6890268169664014,0.6780832489878985,7791.9,0.11980844170271514
0.1,0.0005,1,0.19220010615722502,0.08118772157789386,0.3042913179708648,-0.00107883101125235,13.55472598772582,0.6833560694315672,0.681762834816825,8091.4,0.023940318137279773
0.1,0.0005,2,0.4963265475697015,0.6308283072451689,0.3562350113950907,0.0055897761507063895,7.547279023709619,0.8373959979730511,0.5888168274690663,5697.333333333333,0.09933198749382752
0.1,0.0015,1,0.1896332129088689,0.14232354794517782,0.2276680664065162,0.009274810396655548,9.524874334316076,0.7172335271525928,0.6603279304410263,7781.6,0.06820416233192114
0.1,0.0015,2,0.18992096591993193,0.14227591962340544,0.22821129810066948,0.009354709815305482,9.547074245153798,0.7134633966606381,0.6626955520826154,7770.45,0.06673839315993765
0.1,0.001,1,0.19805791760974373,0.15191299116865756,0.23379613560244436,0.010406708486505992,9.584694758055688,0.7151362606613177,0.6616404059992045,7734.2,0.0660846683913723
0.1,0.001,2,0.19647041225842005,0.1546114470941167,0.2279780953465357,0.010351281002936263,9.629266785235131,0.718260539007552,0.6596830582192141,7756.0,0.06518212020589276
0.1,0.003,1,0.17284067896517635,0.13775258759319708,0.20141476074479897,0.006514017809873066,9.459422511858293,0.7054597017026365,0.6677102229956317,7843.25,0.07796462952676557
0.1,0.003,2,0.17083365938551404,0.13221490106861317,0.20269638177274846,0.006756032598999565,9.539445087876128,0.7085388044447309,0.6657728538831484,7850.15,0.0772757196030461
