I,P,Tgran,Theta,e_rest,kt,kt_is_default,label,mu,mu_g,n_samples,seed,tau
0.0007137328512280703,1.9631046105263157,0.006,0.0005534771235087719,0.5,30000.0,False,e0.5_k3.0e4_mu0.3_T0.006_s2,0.14256175245614036,0.3,57,2,-0.2799802957894737
0.0007082415210526317,1.993710901754386,0.006,0.0005412737235087719,0.5,30000.0,False,e0.5_k3.0e4_mu0.3_T0.006_s3,0.13974521877192983,0.3,57,3,-0.2787827850877193
0.0007163260940350878,1.9490056491228067,0.015,0.0017019389333333332,0.5,30000.0,False,e0.5_k3.0e4_mu0.3_T0.015_s1,0.1157723270877193,0.3,57,1,-0.22558932491228068
0.0007076640233333333,1.9970289631578948,0.015,0.0016688228385964914,0.5,30000.0,False,e0.5_k3.0e4_mu0.3_T0.015_s2,0.1207371385263158,0.3,57,2,-0.24111381192982456
0.0007100908056140351,1.9835112526315788,0.015,0.0016880180614035087,0.5,30000.0,False,e0.5_k3.0e4_mu0.3_T0.015_s3,0.12138532154385966,0.3,57,3,-0.24088468666666663
0.0007046324363157894,2.0142104701754384,0.0005,0.00010555438410526315,0.5,30000.0,False,e0.5_k3.0e4_mu1.0_T0.0005_s1,0.2750253968421053,1.0,57,1,-0.553989243508772
0.0007036216601754386,2.0202597263157895,0.0005,0.00010590971745614035,0.5,30000.0,False,e0.5_k3.0e4_mu1.0_T0.0005_s2,0.2556883670175439,1.0,57,2,-0.5167735084210526
0.0007139670250877194,1.9618967333333335,0.0005,9.939194970175438e-05,0.5,30000.0,False,e0.5_k3.0e4_mu1.0_T0.0005_s3,0.2837254149122807,1.0,57,3,-0.5567071949122807
0.000707164233508772,1.9998721929824566,0.002,0.0002763428114035088,0.5,30000.0,False,e0.5_k3.0e4_mu1.0_T0.002_s1,0.2529411103508772,1.0,57,1,-0.5058893003508772
0.0007093627473684211,1.987363405263158,0.002,0.00027373530192982456,0.5,30000.0,False,e0.5_k3.0e4_mu1.0_T0.002_s2,0.24343167894736842,1.0,57,2,-0.48382376964912277
0.0007154892650877193,1.9536904175438596,0.002,0.00026653508614035086,0.5,30000.0,False,e0.5_k3.0e4_mu1.0_T0.002_s3,0.24283462298245617,1.0,57,3,-0.47471868649122806
0.0007051307312280703,2.0115624631578948,0.006,0.0006131991692982456,0.5,30000.0,False,e0.5_k3.0e4_mu1.0_T0.006_s1,0.2077830142105263,1.0,57,1,-0.41811751666666663
0.0007138580975438596,1.962443454385965,0.006,0.0006220220517543858,0.5,30000.0,False,e0.5_k3.0e4_mu1.0_T0.006_s2,0.1877162192982456,1.0,57,2,-0.3684189250877193
0.0007189339185964913,1.9348654736842106,0.006,0.0006244278973684209,0.5,30000.0,False,e0.5_k3.0e4_mu1.0_T0.006_s3,0.1859768959649123,1.0,57,3,-0.360001640877193
0.000709581947017544,1.9861972263157894,0.015,0.0014845722175438596,0.5,30000.0,False,e0.5_k3.0e4_mu1.0_T0.015_s1,0.13321204,1.0,57,1,-0.2645738710526315
0.0007076765021052633,1.9970511631578944,0.015,0.0014944196245614035,0.5,30000.0,False,e0.5_k3.0e4_mu1.0_T0.015_s2,0.1418364742105263,1.0,57,2,-0.2833183054385965
0.0007164875819298246,1.948059,0.015,0.0015018092578947368,0.5,30000.0,False,e0.5_k3.0e4_mu1.0_T0.015_s3,0.14829697807017544,1.0,57,3,-0.28888614368421056
0.0007123819114035089,1.9706021385964911,0.0005,0.00013631201245614035,0.5,30000.0,False,e0.5_k3.0e4_mu5.0_T0.0005_s1,0.23885575210526314,5.0,57,1,-0.4707047370175438
0.0007055126671929825,2.0093555736842106,0.0005,0.00014441340263157893,0.5,30000.0,False,e0.5_k3.0e4_mu5.0_T0.0005_s2,0.23773073842105263,5.0,57,2,-0.47831182508771924
0.0007104314601754386,1.9814600298245615,0.0005,0.00014843365596491228,0.5,30000.0,False,e0.5_k3.0e4_mu5.0_T0.0005_s3,0.2248512233333333,5.0,57,3,-0.4453950882456141
0.0007155963945614034,1.9529550859649125,0.002,0.0003478522294736842,0.5,30000.0,False,e0.5_k3.0e4_mu5.0_T0.002_s1,0.21323074719298243,5.0,57,1,-0.4165102556140351
0.0007130750068421052,1.96690349122807,0.002,0.000336815391754386,0.5,30000.0,False,e0.5_k3.0e4_mu5.0_T0.002_s2,0.22213622280701756,5.0,57,2,-0.4371693512280702
0.000717149370877193,1.9446881070175437,0.002,0.00033174426701754385,0.5,30000.0,False,e0.5_k3.0e4_mu5.0_T0.002_s3,0.22609370754385966,5.0,57,3,-0.44012521596491233
0.0007057227515789474,2.0083515701754386,0.006,0.0007050102610526315,0.5,30000.0,False,e0.5_k3.0e4_mu5.0_T0.006_s1,0.19564299824561404,5.0,57,1,-0.39340686719298246
0.0007103977380701753,1.9817131736842106,0.006,0.0007259839080701754,0.5,30000.0,False,e0.5_k3.0e4_mu5.0_T0.006_s2,0.19253885350877192,5.0,57,2,-0.3817454163157895
0.0007168859175438596,1.9459070421052633,0.006,0.0007271224989473683,0.5,30000.0,False,e0.5_k3.0e4_mu5.0_T0.006_s3,0.1889557054385965,5.0,57,3,-0.36773156736842105
0.0007053838247368422,2.009925754385965,0.015,0.0014727146631578945,0.5,30000.0,False,e0.5_k3.0e4_mu5.0_T0.015_s1,0.16544646999999998,5.0,57,1,-0.33257602912280704
0.0007119336224561404,1.973181643859649,0.015,0.0015001151736842107,0.5,30000.0,False,e0.5_k3.0e4_mu5.0_T0.015_s2,0.15557618298245612,5.0,57,2,-0.3070823003508772
0.0007125311514035088,1.969956212280702,0.015,0.0014990196578947368,0.5,30000.0,False,e0.5_k3.0e4_mu5.0_T0.015_s3,0.1528453501754386,5.0,57,3,-0.30127745649122806
0.0007076840136842106,1.996994436842105,0.0005,7.046525692982457e-05,0.5,300000.0,False,e0.5_k3.0e5_mu0.03_T0.0005_s1,0.12822076649122807,0.03,57,1,-0.2561292254385965
0.0007059895712280701,2.006591261403509,0.0005,6.71383134385965e-05,0.5,300000.0,False,e0.5_k3.0e5_mu0.03_T0.0005_s2,0.11719724228070176,0.03,57,2,-0.23514990263157895
0.0007093135494736842,1.9877670385964914,0.0005,7.057548664912281e-05,0.5,300000.0,False,e0.5_k3.0e5_mu0.03_T0.0005_s3,0.12227523754385965,0.03,57,3,-0.24304099719298247
0.000706850812631579,2.0015029666666666,0.002,0.000265354029122807,0.5,300000.0,False,e0.5_k3.0e5_mu0.03_T0.002_s1,0.1208303949122807,0.03,57,1,-0.24184575649122808
0.0007103924954385964,1.9815884947368418,0.002,0.0002657082168421053,0.5,300000.0,False,e0.5_k3.0e5_mu0.03_T0.002_s2,0.10860284091228072,0.03,57,2,-0.21522632947368422
0.0007055169729824562,2.009082794736842,0.002,0.0002648588401754386,0.5,300000.0,False,e0.5_k3.0e5_mu0.03_T0.002_s3,0.12389760508771931,0.03,57,3,-0.2489729636842105
0.0007092525654385964,1.98798699122807,0.006,0.0008717239812280701,0.5,300000.0,False,e0.5_k3.0e5_mu0.03_T0.006_s1,0.1158033856140351,0.03,57,1,-0.23021381298245613
