mu_g,Tgran,seed,mu,a_c,a_n,a_t,f_mean,cv_f,pr_f,ncon,chi,P
0.2,0.013,1,0.18455791392344525,0.13942487675657184,0.21984185990047372,0.009849094362652872,9.823815793667169,0.7120201657023322,0.6635987724900448,7678.65,0.06966333664015753,10.0
0.2,0.013,2,0.18618191494403213,0.14821709047316142,0.2144471137467852,0.009699628511616263,9.89052159085541,0.7137616003550181,0.6625042503230574,7670.1,0.06889028466488337,10.0
0.2,0.02,1,0.16510482060445292,0.1336702328891656,0.18999798450248978,0.0065414275305569645,9.611524985002328,0.703530117239756,0.6689262380144866,7724.5,0.08595956896955889,10.0
0.2,0.02,2,0.17261035067077102,0.13515980242270756,0.2034773491895619,0.006583549945958622,9.732390965233014,0.7069608683249122,0.6667666992021385,7720.9,0.08482023258724122,10.0
0.2,0.03,1,0.15061175171789792,0.12277656596702484,0.17415669073162107,0.004290243131284375,9.52270125690335,0.702371691928149,0.6696677851983059,7751.05,0.10396789939275586,10.0
0.2,0.03,2,0.1550230812821181,0.125883614811139,0.1799133667026535,0.004249177898562249,9.579107797047326,0.7024485663559847,0.6696125384353587,7743.6,0.10415481840099292,10.0
0.3,0.0005,1,0.5860145559362501,0.7741979729764203,0.3880612320163258,0.009769903864429049,7.125394864034106,0.8693612790268164,0.569856372533228,5111.428571428572,0.044413724887470925,10.0
0.3,0.0005,2,0.2509017395385138,0.18008628218625927,0.3210111371528194,0.0007060617586307007,13.602811126600276,0.7036723881458196,0.6697053261796492,7607.35,0.011776156120267075,10.0
0.3,0.0015,1,0.26910636043885494,0.21024904889207674,0.2865893159411438,0.0413743553424764,10.71903242176878,0.7696426115476106,0.628033171051659,6975.9,0.03416932737257001,10.0
0.3,0.0015,2,0.26097819542707956,0.1986725225140795,0.2803697693590098,0.04291409509019596,10.820207566098393,0.7618616795571296,0.6327622070545715,6946.5,0.03432197887644219,10.0
0.3,0.001,1,0.26755582951786555,0.20511742575604144,0.28941666796045185,0.040577563782677385,10.982814992825485,0.7668243089735631,0.6297346481708535,6916.5,0.0359943773762655,10.0
0.3,0.001,2,0.26020687469914117,0.20607087331724966,0.2746930831495504,0.039649793288690574,10.94568660920441,0.7592089018155648,0.6343743051653649,6917.45,0.037129201862827435,10.0
0.3,0.003,1,0.2556072661471526,0.19522904545264325,0.2782660756415616,0.03771940779654291,10.717750382145791,0.7620716777999751,0.6326204807667246,7041.25,0.0355307571784011,10.0
