mu_g,Tgran,seed,Theta,mu,a_c,a_n,a_t
0.2,0.013,1,0.0006931225643413174,0.17993466813103534,0.13381100518281394,0.21647520328950706,0.009583127803541196
0.2,0.013,2,0.0006831111692215569,0.18022882991103978,0.1321928112582822,0.21895221573438267,0.009312631563420874
0.2,0.02,1,0.0010247394867365272,0.16656584399854985,0.13165725850268487,0.19489196970662767,0.006582461083998715
0.2,0.02,2,0.0010379969078443112,0.1625841281195079,0.12331609694457157,0.19524132437856787,0.006610827734810278
0.2,0.03,1,0.0015195632730538925,0.1492604339925602,0.11714962483222208,0.176728258992222,0.004642983470210423
0.2,0.03,2,0.001493330401497006,0.14896505366017884,0.11640564659679431,0.17749455579014062,0.004029898085309929
0.3,0.0005,1,6.21527190748503e-05,0.20468872413784112,0.10217291810021359,0.3066755106680386,0.0005290184199857199
0.3,0.0005,2,5.7006537760479046e-05,0.3194360210074068,0.3101986870737391,0.32446021091177324,0.004213145098985875
0.3,0.0015,1,0.0001366040345508982,0.2588281116895653,0.18996780092927223,0.2854865829982763,0.042201838022663085
0.3,0.0015,2,0.00013388605491017962,0.25636815936934426,0.19426953777014672,0.2789233605040727,0.03954342215649689
0.3,0.001,1,9.997920887125749e-05,0.2653943492541023,0.1986517679179143,0.2878094369608074,0.044327488526113415
0.3,0.001,2,0.00010095885397305391,0.26076869413623605,0.1938560906668022,0.28339061021652573,0.04429068836148428
0.3,0.003,1,0.0002288502854491018,0.24905553224441468,0.18239771940992144,0.27769377378157034,0.038019563812669174
0.3,0.003,2,0.00022858914733532934,0.25249954969724664,0.18608277828668407,0.2816365616319433,0.0372797608651311
0.3,0.005,1,0.0003444207522155688,0.24063207512534715,0.17868159263045053,0.2690430177392128,0.03353953532122222
0.3,0.005,2,0.0003513942511077844,0.24013866281213428,0.1778497535534462,0.2697329897953268,0.03269457966639655
0.3,0.008,1,0.0005182609546107784,0.22922013401356559,0.17374734186227675,0.2571727141424874,0.02752021148633123
0.3,0.008,2,0.0005144268925449102,0.22998704391162883,0.17012295775703976,0.26277134985308764,0.027079780706392508
0.3,0.013,1,0.000751439446047904,0.21714551356376902,0.16276711231624535,0.24873776403571213,0.02278614427194828
0.3,0.013,2,0.000751965210269461,0.2154620200507454,0.15948988972031736,0.2500820459936667,0.02135210396188137
0.3,0.02,1,0.0010966837974550898,0.198653450493525,0.153205837481223,0.22736357120196649,0.016737488947749096
0.3,0.02,2,0.001096327150748503,0.19960007151666342,0.15134602409270048,0.23173046747901355,0.016123646893804636
0.3,0.03,1,0.0015773537685628742,0.18149424523485932,0.137499926743162,0.21324042466475512,0.0122481374895703
0.3,0.03,2,0.0015740286886227544,0.18011416151486692,0.13962807935975372,0.2093964501567729,0.011203791399978867
0.5,0.0005,1,0.00010513484253293413,0.3720466588487224,0.3797669549869538,0.3546037843020647,0.009722583339336031
0.5,0.0005,2,7.500103226646707e-05,0.21459575642892256,0.1281152941111459,0.30093803033355343,0.00013818961752591594
0.5,0.0015,1,0.00017622178589820362,0.2710371070452317,0.20927306746044047,0.2696006019777858,0.06320055074320162
0.5,0.0015,2,0.00017460795793413175,0.2671740147265699,0.2029876489050669,0.26700615372404557,0.06435422708189899
0.5,0.001,1,0.00014429169374251496,0.2740079898153784,0.20705778637521052,0.2762278665255971,0.06473032558428893
0.5,0.001,2,0.0001350367871257485,0.26684229270602344,0.20364557446825818,0.26410338941989425,0.06593562373323025
0.5,0.003,1,0.0002981439317065868,0.26946522583940347,0.20473008648433144,0.2747043482271734,0.05949602087407097
0.5,0.003,2,0.0002986636883832335,0.26368603787467976,0.19907318044554553,0.2697182818998206,0.05858061469263778
0.5,0.005,1,0.00043025955571856286,0.26446111982773945,0.19708129872482585,0.2769721311915232,0.054868809439468105
0.5,0.005,2,0.0004430314554790419,0.25769056895136916,0.20169964567219895,0.26100151778848985,0.05267997194154214
0.5,0.008,1,0.0006514466606287425,0.2562534894063101,0.19731284332030802,0.26662175087973,0.04857238307338244
0.5,0.008,2,0.0006253288761077844,0.25858130009218905,0.19874920836380752,0.26891973102892935,0.04949366153740064
0.5,0.013,1,0.0009427396542514971,0.2504396788437417,0.1835513187061647,0.2730249194779531,0.04430311917065477
0.5,0.013,2,0.0009262064228742515,0.2373148419305056,0.18051060933896804,0.25260965613027386,0.04150941820101951
0.5,0.02,1,0.0013156244113772457,0.23369913081984992,0.17436810606668457,0.25912276136507484,0.033907396694025274
0.5,0.02,2,0.0012950525284431138,0.22799135384338642,0.17698083570986672,0.24497216096458838,0.03402970958110437
0.5,0.03,1,0.0017571520652694612,0.218085083517345,0.16677281456076715,0.2417071748684752,0.02769018012212873
0.5,0.03,2,0.001810568402095808,0.21528560036803251,0.16741002546452274,0.2367005283539497,0.02646064713762423
