Tgran,Theta,Z,Z_c,a_c,a_c_str,a_c_w,a_c_wk,chi,cv_f,dZ_eff,f_mean,label,mu_g,pr_f,seed
0.0005,0.0005,4.883918367346938,4.478308593958583,0.08167651530677579,0.19296505099793973,0.17248148867097404,0.014340761786476761,0.23915429697929155,0.8684561469497009,0.40560977338835524,7.012976331075382,mu0.2_T0.0005_s3,0.2,0.57008788609305,3
0.001,0.001,5.260102040816325,4.132468928866048,0.04132995271693284,0.13319446571274685,0.1255559192790676,0.04481669708399733,0.06623446443302401,0.8863316980589787,1.127633111950277,10.510502321022361,mu0.2_T0.001_s1,0.2,0.5600419026549857,1
0.001,0.001,5.209367346938776,4.12913708333122,0.04426311664601948,0.1327419132640523,0.12418985532551173,0.03851562861416154,0.06456854166560999,0.8941797783642309,1.0802302636075556,10.38166930188053,mu0.2_T0.001_s2,0.2,0.5556935967925677,2
0.001,0.001,5.269857142857143,4.139024480825674,0.0438219701789436,0.13727172257472117,0.13077806176587708,0.024197828039398423,0.06951224041283718,0.913434607517659,1.1308326620314686,10.444522411530892,mu0.2_T0.001_s3,0.2,0.5451493144178885,3
0.003,0.003,5.384020408163265,4.146106808932643,0.034603375476608994,0.11939167583959302,0.1149917432969194,0.04366075232631665,0.07305340446632169,0.874258736320965,1.2379135992306223,9.975862879058775,mu0.2_T0.003_s1,0.2,0.5667890492685521,1
0.003,0.003,5.370591836734695,4.146912732406882,0.0375961477632929,0.10874893115051715,0.10425939345908397,0.03481118312810466,0.07345636620344105,0.8717790758928647,1.2236791043278128,9.819230980828442,mu0.2_T0.003_s2,0.2,0.5681832931972621,2
0.003,0.003,5.398408163265307,4.150645075247845,0.038988552974718975,0.1258053169656778,0.1188383918309614,0.026099202196275068,0.07532253762392253,0.8807031718092299,1.2477630880174617,9.933314522407976,mu0.2_T0.003_s3,0.2,0.5631791223468142,3
0.008,0.008,5.605387755102042,4.190759865044139,0.023046725956762947,0.07835026198071138,0.07250297886601198,0.022030555888129504,0.09537993252206989,0.8401192653218207,1.4146278900579023,9.285030124772232,mu0.2_T0.008_s1,0.2,0.5862365242324291,1
0.008,0.008,5.52065306122449,4.196777143833612,0.027486844006833468,0.10155365778811454,0.09361620230012604,0.03279772806872712,0.09838857191680567,0.8490505867615998,1.323875917390878,9.366084324926478,mu0.2_T0.008_s2,0.2,0.5810974619007624,2
0.008,0.008,5.569734693877551,4.1866114081435075,0.029313067674609887,0.09518204475937514,0.09075933451585032,0.01786072800272691,0.09330570407175362,0.8384191624461126,1.3831232857340439,9.2714533101275,mu0.2_T0.008_s3,0.2,0.5872189116282561,3
0.02,0.02,5.780571428571428,4.285820557300697,0.016477189717859796,0.06556723531408608,0.06359783033751383,0.02042428652898129,0.14291027865034847,0.8097076624746924,1.494750871270731,8.63964088998336,mu0.2_T0.02_s1,0.2,0.6040030610108974,1
0.02,0.02,5.719326530612245,4.2808731831076114,0.021171143451284714,0.078051615537669,0.07104651308179091,0.030602751634401047,0.14043659155380553,0.7686609245886284,1.438453347504634,8.675490450743734,mu0.2_T0.02_s2,0.2,0.6286004262421728,2
0.02,0.02,5.752816326530612,4.285868977237158,0.021362849376909965,0.06670641555293104,0.06625707519887464,0.014620098471713444,0.14293448861857896,0.7823574548239512,1.466947349293454,8.393888717222016,mu0.2_T0.02_s3,0.2,0.6203163721158778,3
