P,mu_g,Tgran,seed,chi
5.0,0.15,0.0015,2,0.08765282309387985
5.0,0.15,0.0025,1,0.09661206081699222
5.0,0.15,0.0025,2,0.09740474177545776
5.0,0.15,0.004,1,0.11038874016914513
5.0,0.15,0.004,2,0.109321301044066
5.0,0.15,0.006500000000000001,1,0.12894955761951835
5.0,0.15,0.006500000000000001,2,0.12903831103676763
5.0,0.15,0.01,1,0.15109241959357753
5.0,0.15,0.01,2,0.15110529676671475
5.0,0.15,0.015,1,0.17693575107605564
5.0,0.15,0.015,2,0.17676315090370265
5.0,0.1,0.00025,1,0.11725844914216184
5.0,0.1,0.00025,2,0.11442934171512335
5.0,0.1,0.00075,1,0.1228368454926934
5.0,0.1,0.00075,2,0.1105199872600657
5.0,0.1,0.0005,1,0.11773331773284208
5.0,0.1,0.0005,2,0.11307413320245538
5.0,0.1,0.0015,1,0.1127749068389713
5.0,0.1,0.0015,2,0.11165749262322248
5.0,0.1,0.0025,1,0.12804934269700935
5.0,0.1,0.0025,2,0.12710408837701168
5.0,0.1,0.004,1,0.15018529866033598
5.0,0.1,0.004,2,0.14986216474108574
5.0,0.1,0.006500000000000001,1,0.17734068615597343
5.0,0.1,0.006500000000000001,2,0.17773079710432008
5.0,0.1,0.01,1,0.20916924924256255
5.0,0.1,0.01,2,0.2077592396419232
5.0,0.1,0.015,1,0.24296292179720982
5.0,0.1,0.015,2,0.24109168991245586
5.0,0.2,0.00025,1,0.0742486921522482
5.0,0.2,0.00025,2,0.06487741559607672
5.0,0.2,0.00075,1,0.07271882030856254
5.0,0.2,0.00075,2,0.06798461693090845
5.0,0.2,0.0005,1,0.06673228461378386
5.0,0.2,0.0005,2,0.07122475543633629
5.0,0.2,0.0015,1,0.07558232760012587
5.0,0.2,0.0015,2,0.07425053386529298
5.0,0.2,0.0025,1,0.080304098900209
5.0,0.2,0.0025,2,0.08002485538631583
5.0,0.2,0.004,1,0.08993183609540228
5.0,0.2,0.004,2,0.09046452315208778
5.0,0.2,0.006500000000000001,1,0.10391404674109946
5.0,0.2,0.006500000000000001,2,0.10360202085104865
5.0,0.2,0.01,1,0.1206217013709753
5.0,0.2,0.01,2,0.1198458251398817
5.0,0.2,0.015,1,0.1399971296683608
5.0,0.2,0.015,2,0.14055803231951391
5.0,0.3,0.00025,1,0.053945936425731734
5.0,0.3,0.00025,2,0.057853038006073346
5.0,0.3,0.00075,1,0.05058346058140411
5.0,0.3,0.00075,2,0.05185866028393845
5.0,0.3,0.0005,1,0.0517646492880934
5.0,0.3,0.0005,2,0.051033795696722326
5.0,0.3,0.0015,1,0.0623253059748189
5.0,0.3,0.0015,2,0.06160256402161305
5.0,0.3,0.0025,1,0.06560585234929554
5.0,0.3,0.0025,2,0.06510338512091766
5.0,0.3,0.004,1,0.0707247401566509
5.0,0.3,0.004,2,0.07068738531149989
