Tgran,Theta,frac_strong,label,life_all,life_strong,life_weak,mu_g,n_ep_all,n_ep_strong,n_ep_weak,rate_all,rate_path_all,rate_path_strong,rate_path_weak,rate_strong,rate_weak,seed
0.002,0.0004088789566666666,0.15985973597359737,mu0.0_T0.002_s3,0.8574690594059404,2.3370193548387093,0.575944021605696,0.0,9696,1550,8146,0.014069898871788555,0.027283420142162982,0.024740836626862647,0.02776721641625033,0.005723565976654846,0.015658017701577074,3
0.006,0.0011917753333333333,0.16556200888281516,mu0.0_T0.006_s1,0.4953208062863,1.3928270738753608,0.3172453324598755,0.0,14635,2423,12212,0.026294624027106504,0.04634169938729482,0.04195794757775486,0.04721148571504748,0.013773867893144807,0.028778884763479673,1
0.006,0.0012219557999999999,0.1756107746920025,mu0.0_T0.006_s2,0.5045834203382752,1.3669441141498215,0.3208839918946302,0.0,14367,2523,11844,0.028802645196791807,0.04832187099522254,0.04378143455918088,0.04928907136065087,0.016622112841584158,0.03139733306678411,2
0.006,0.0012176731666666666,0.17065578306585502,mu0.0_T0.006_s3,0.4950581073602656,1.3807661126874744,0.3128042372174493,0.0,14456,2467,11989,0.02893325306930067,0.04829420510779656,0.04337048903712589,0.049307367802462046,0.015848516757307227,0.03162572487526345,3
0.015,0.0030993035666666666,0.29347770043825727,mu0.0_T0.015_s1,0.3008894044856922,0.5238246661981729,0.20828577683718896,0.0,19395,5692,13703,0.04873055991868722,0.07669147396644187,0.0709397383129217,0.07908065001109169,0.03686551662516934,0.05365910304258008,1
0.015,0.0030824051,0.30180891719745223,mu0.0_T0.015_s2,0.2958787261146496,0.5021593786932298,0.20670923952707634,0.0,19625,5923,13702,0.04804871808141766,0.07561294829773003,0.07033645505432745,0.07789383207241063,0.03779793878732966,0.052479849723432205,2
0.015,0.0029385352666666665,0.2925148762918885,mu0.0_T0.015_s3,0.3029533354212339,0.5391488222698073,0.20529659141212925,0.0,19158,5604,13554,0.048729497597282685,0.0764568865833895,0.06950446899018634,0.07933141426468729,0.03566594822142682,0.0541307172152771,3
0.0005,5.1239555e-05,0.28687916975537436,mu0.1_T0.0005_s1,1.6068736100815417,2.3999999999999995,1.2878092515592514,0.1,5396,1548,3848,0.004220899283753921,0.007477179849799654,0.005059319922121639,0.008449853230268875,0.0025287294546251986,0.004901637042457472,1
0.0005,4.7628639e-05,0.2921410209327947,mu0.1_T0.0005_s2,1.6123540213000365,2.399999999999999,1.287284046692607,0.1,5446,1591,3855,0.004481505277560541,0.007769803618123147,0.005078759020106895,0.008880426693465265,0.0026347980895565066,0.005243661214295799,2
0.0005,4.8929312666666665e-05,0.2877289377289377,mu0.1_T0.0005_s3,1.6168296703296703,2.399522597071928,1.3006531241964514,0.1,5460,1571,3889,0.004642738280924441,0.00776060712640405,0.005211333152715847,0.008790411552391235,0.002793900675159082,0.005389594510972623,3
0.002,0.00019964995666666666,0.20200051961548454,mu0.1_T0.002_s1,1.1065705378020263,2.3957749196141473,0.7802295295458244,0.1,7698,1555,6143,0.008716535124397979,0.01633822994739962,0.011525005526071901,0.01755661900407626,0.004444274709329066,0.009797987988704043,1
0.002,0.00019776520333333335,0.2007121192140314,mu0.1_T0.002_s2,1.1105301331926678,2.3979894875164254,0.7872314799538029,0.1,7583,1522,6061,0.009030211162973685,0.016758882533425917,0.01156929671633614,0.018062058513232986,0.004282686933601109,0.010222379431758548,2
0.002,0.00018845446333333332,0.19656366200794972,mu0.1_T0.002_s3,1.0911168098474162,2.3999999999999995,0.7708937120970315,0.1,7799,1533,6266,0.008549528169789817,0.01640409151636759,0.011275284803600094,0.017658872986312142,0.0037247001504928023,0.009729940131740394,3
0.006,0.0006609869599999999,0.1436143361938415,mu0.1_T0.006_s1,0.6505981827359918,2.0783655536028114,0.4111641615089891,0.1,11886,1707,10179,0.017378901702287692,0.031689380442616245,0.0246194059427192,0.03287500245571422,0.006725146729297444,0.019165517257734625,1
0.006,0.0006977346966666667,0.13908045977011493,mu0.1_T0.006_s2,0.6309556650246304,2.0116824085005898,0.4079010108716384,0.1,12180,1694,10486,0.017557767673031556,0.03203460906904311,0.02520264655140749,0.03313830394839412,0.007104791281134336,0.019246432751028306,2
0.006,0.0007145981,0.14476284584980237,mu0.1_T0.006_s3,0.6206669960474308,1.9346928327645045,0.3982466782206817,0.1,12144,1758,10386,0.017695357903302008,0.03227007828666339,0.02593745130464744,0.033341978752134606,0.007784218054167851,0.019372980073028356,3
0.015,0.002091493833333333,0.23935985155978198,mu0.1_T0.015_s1,0.3665806563840891,0.7676526162790698,0.2403704833053819,0.1,17246,4128,13118,0.0341046586479669,0.05614012208772045,0.04823340345147263,0.05862822504018507,0.02249701007097222,0.03775737806600577,1
0.015,0.0021240011,0.23257026948710519,mu0.1_T0.015_s2,0.3637606490872211,0.7742960378769,0.23934753058450386,0.1,17255,4013,13242,0.03316579737768646,0.055903259886779674,0.04713452274872491,0.0585606335565436,0.02053073029006286,0.036994865813167015,2
