Tgran,Theta,Z,Z_c,a_c,a_c_str,a_c_w,a_c_wk,chi,cv_f,dZ_eff,f_mean,label,mu_g,pr_f,seed
0.008,0.00046181292,3.943450617283951,3.1146145330516113,0.03447158112639472,0.12529393624405705,0.10342826005207204,0.03746217203581968,0.11461453305161148,0.6909104821629029,0.8288360842323397,9.31026692785687,E1.0e5_mu0.1_T0.008_s3,0.1,0.676886179937231,3
0.001,0.00011202116333333333,3.4080493827160496,3.035349439423644,0.06656772439628729,0.2118180768736594,0.1856049999057437,0.04829888849408676,0.035349439423644206,0.7678328428701514,0.3726999432924054,10.429639105908358,E1.0e5_mu0.3_T0.001_s1,0.3,0.6291033789039574,1
0.001,0.00010002209966666666,3.4231049382716057,3.0352993953800884,0.0669800372213597,0.22678912982069702,0.20186303318995538,0.056053943852008216,0.03529939538008861,0.7531636008452737,0.38780554289151725,10.479028088514005,E1.0e5_mu0.3_T0.001_s2,0.3,0.6380585316275105,2
0.001,9.598221833333334e-05,3.4442592592592596,3.0351537175377907,0.06656957207048111,0.2251002314366138,0.2014996367978317,0.052167043400819874,0.03515371753779088,0.776128905145989,0.40910554172146885,10.335449074803172,E1.0e5_mu0.3_T0.001_s3,0.3,0.6240740850581785,3
0.003,0.00023961320666666667,3.4881728395061726,3.0351019620783237,0.06134645310745388,0.20474463272965254,0.17767304979815257,0.046719449417675536,0.03510196207832353,0.768220193247506,0.4530708774278489,10.21412957789609,E1.0e5_mu0.3_T0.003_s1,0.3,0.6288678890763852,1
0.003,0.00023379587666666666,3.511574074074074,3.034736292100405,0.0597002809189621,0.22056871644449944,0.18962737475247696,0.06121539105637074,0.03473629210040504,0.7642250958153769,0.4768377819736691,10.251805544835339,E1.0e5_mu0.3_T0.003_s2,0.3,0.6312979875899674,2
0.003,0.00023773398999999998,3.4976851851851847,3.036436206686571,0.06099312174800869,0.21553003033908766,0.18773087921579998,0.0595083228061345,0.0364362066865712,0.7815332325209163,0.46124897849861357,10.22498391399321,E1.0e5_mu0.3_T0.003_s3,0.3,0.620812724659706,3
0.008,0.00055502163,3.5665925925925928,3.0448926349929364,0.061251181070233446,0.19785110854155022,0.16805390147985869,0.04247899026578237,0.04489263499293622,0.7601869466940886,0.5216999575996564,9.940595243550638,E1.0e5_mu0.3_T0.008_s1,0.3,0.6337615213760263,1
0.008,0.0005234166933333333,3.5966111111111108,3.0440665309562713,0.04916628910192379,0.18122023152272196,0.16068044613105398,0.04832922991453848,0.04406653095627141,0.7645719903425111,0.5525445801548394,10.058155737387985,E1.0e5_mu0.3_T0.008_s2,0.3,0.6310876689357765,2
0.008,0.0005286404533333334,3.5956172839506175,3.0451491501639016,0.05526852187674347,0.20040000037320782,0.1750357154458245,0.05226823907378506,0.045149150163901655,0.7775065201226207,0.5504681337867159,9.936888193124865,E1.0e5_mu0.3_T0.008_s3,0.3,0.6232424463509596,3
0.001,0.00022634695999999998,2.9525123456790126,3.010975222802031,0.07265307657653747,0.22482031726414742,0.19560881919962766,0.038289086695324895,0.010975222802030594,0.7644385326385355,-0.05846287712301823,12.475400671031101,E1.0e5_mu1.0_T0.001_s1,1.0,0.6311750643171563,1
0.001,0.00017021878,2.9281913580246917,3.0089158289697044,0.07492414517716613,0.21726168064643017,0.1957621377281566,0.03355514328120407,0.008915828969704354,0.7673447154344146,-0.08072447094501278,12.694479628068073,E1.0e5_mu1.0_T0.001_s2,1.0,0.6294001667902942,2
0.001,0.00019409005,2.9160802469135803,3.010705268501563,0.0687002635624486,0.19943122604840377,0.1827180777478636,0.0358175852427095,0.010705268501563094,0.7754712883745689,-0.0946250215879827,12.683994306826362,E1.0e5_mu1.0_T0.001_s3,1.0,0.6244722599877199,3
0.003,0.0004230090666666666,2.9972962962962963,3.012578583637817,0.06595188441026262,0.2022274334348414,0.17725364351523293,0.0376672324354875,0.012578583637817348,0.7693064807759872,-0.015282287341520817,12.321326833072968,E1.0e5_mu1.0_T0.003_s1,1.0,0.6282100360706706,1
0.003,0.0004184595333333334,2.9669753086419752,3.01179987990986,0.0694639541258753,0.18068668423508896,0.17430176343447149,0.015723423738876398,0.011799879909860108,0.7505101826055348,-0.04482457126788475,12.583858117894449,E1.0e5_mu1.0_T0.003_s2,1.0,0.6396882650539829,2
0.003,0.0004253237266666667,2.9801481481481487,3.0109320180545707,0.06258608797558818,0.17918768387267425,0.16175833887384042,0.026661539819399,0.010932018054570714,0.7523295528418064,-0.030783869906422012,12.589481592611802,E1.0e5_mu1.0_T0.003_s3,1.0,0.6385717260252769,3
0.008,0.0009035814533333333,3.02808024691358,3.0149481013032635,0.06169246034532866,0.18252030240842404,0.1639338977499983,0.02889389706478597,0.014948101303263343,0.7700142854449981,0.013132145610316392,12.316305506436766,E1.0e5_mu1.0_T0.008_s1,1.0,0.6277804194294311,1
0.008,0.0008724486666666667,3.068308641975309,3.0151378445507446,0.0588768683984961,0.18218038047557283,0.1670405968075264,0.030429959334780227,0.0151378445507445,0.792522356587362,0.05317079742456432,12.025392843153137,E1.0e5_mu1.0_T0.008_s2,1.0,0.6142180095498555,2
0.008,0.0009008024733333334,3.0483148148148147,3.01442496801383,0.06133984785090457,0.16878704423491372,0.15319015511793738,0.026352007579121615,0.014424968013829781,0.7739940596425433,0.033889846800984724,12.132611387132952,E1.0e5_mu1.0_T0.008_s3,1.0,0.6253675299021368,3
0.001,6.320695433333332e-05,3.6176913580246914,3.0911404082102902,0.05518771152724736,0.19834255446479365,0.166716107228534,0.05390904875571578,0.09114040821029008,0.7082771175444351,0.5265509498144012,9.876087238064596,E1.0e6_mu0.1_T0.001_s1,0.1,0.6659325149039427,1
