mu_g,Tgran,seed,Theta,mu,mu_t,A_c,A_n,chi,f_mean,cv_f,pr_f,ncon
0.15,0.02,1,0.0006684710319461078,0.2550458412306337,0.0025586005217935596,0.03622655823048286,0.047935855890199094,0.1855791725371026,8.23729042967045,0.7732788919522197,0.625803887171918,11959.5
0.15,0.02,2,0.0006399876229041916,0.2539936635017794,0.0028376853802953637,0.03624758774895566,0.047471070988155284,0.1840463999416903,8.260406645614692,0.7728759341729371,0.626045594720329,12000.9
0.15,0.03,1,0.000987602659760479,0.23147979861564388,0.0015730131849755135,0.03434136296172143,0.04229423272017384,0.22175980179761384,8.223722146209152,0.7580585835040448,0.6350702669874937,11995.8
0.15,0.03,2,0.001005112913982036,0.22830057414066784,0.0018480392534616342,0.03300111622153816,0.04248306307815216,0.22491705022728806,8.247127367322829,0.764385706354825,0.6312124980105441,12020.6
0.15,0.05,1,0.0017618757101796406,0.2071063116995028,0.001058297951584547,0.03227441100308283,0.03640825971341166,0.28071828752070066,8.309475308939378,0.7577994180211017,0.6352283032119052,11902.0
0.15,0.05,2,0.0017735656733532934,0.20973242394095237,0.0009623012516935959,0.033467807901124996,0.03612223421165688,0.2788863787758052,8.340153487896195,0.7539629765573514,0.6375774302403062,11911.0
0.15,0.08,1,0.003186458166766467,0.1898466453373264,0.0010544510054392505,0.03201975545858065,0.030910976236501846,0.33853121776314227,8.478285837247686,0.7506683529964999,0.639595172383881,11608.1
0.15,0.08,2,0.0032268891101796403,0.18567515403811155,0.0006673445207469707,0.029202726347681906,0.032466543249689825,0.33861413745742597,8.520919492376397,0.754499500472129,0.6372574678037249,11615.8
0.15,0.12,1,0.005373152710778444,0.1725479322282129,0.0007187784252816666,0.031130509675254298,0.02614587471668251,0.3893176870323317,8.787749599040607,0.7560947253261292,0.6362683305640019,11234.1
0.15,0.12,2,0.005363725219161676,0.17570373470847406,0.0006934164505403888,0.031608352070836246,0.02672842138262279,0.3866780797444374,8.803185969363549,0.7525675321245475,0.6384295528538467,11237.3
0.1,0.0005,1,0.00028514689488023953,0.39544740707552706,0.005431415799245347,0.050690903182190314,0.07931442820706794,0.21366900885834778,6.607587205262975,0.8286499892339959,0.5938195456745934,11455.6
0.1,0.0005,2,0.00016718557702095812,0.45930710094383836,0.005395189979825779,0.06920234975079943,0.08210161951256348,0.2112556065678842,5.738512252386556,0.8788687188854031,0.5642452281233996,10833.5
0.1,0.0015,1,6.248387744011975e-05,0.3426523365733483,0.010988384472989735,0.0472950960011513,0.06325955427943247,0.09891461592746513,8.59457111357526,0.8091833394116644,0.6043307724644096,11627.9
0.1,0.0015,2,5.997963718862275e-05,0.34605400942925046,0.01102467394970376,0.04589915794469675,0.06577728624923188,0.09878032219709496,8.580293778517916,0.8158495852188489,0.6004018538768663,11669.5
0.1,0.001,1,4.1974123113772454e-05,0.35015248348534206,0.012102941001516676,0.047142389516425305,0.06554079129249457,0.09720910656334206,8.622865708624524,0.8116379850849904,0.6028772216250491,11552.9
0.1,0.001,2,4.3408896116766466e-05,0.3508209489197296,0.012814072275401397,0.044236676223227404,0.06843228263582321,0.09765486189616154,8.674612156001135,0.8294547003024991,0.5924304334912389,11543.8
0.1,0.003,1,0.00011303789440419161,0.31974426165804165,0.007085655932769519,0.04290215989397088,0.061317375703866264,0.12334056394320558,8.477647558326293,0.8053181038340613,0.606610191336133,11830.7
0.1,0.003,2,0.00011266307669461077,0.30762964528053605,0.007291117058438465,0.04130994782658082,0.05880289568023191,0.12052699572054186,8.457783417805363,0.7979427681116688,0.6109996704721573,11841.2
0.1,0.005,1,0.00017777013017964072,0.2873725551763092,0.004760724890375542,0.03903338055752066,0.05517055966237403,0.14989318041789945,8.325112321168584,0.791874588962702,0.6146094874976421,11956.5
0.1,0.005,2,0.00017903880332335327,0.283330330646717,0.0048009233275339664,0.03876171986401025,0.054081416881234134,0.1476575249955415,8.28897729131021,0.7894091069992977,0.6160839582170226,11968.7
0.1,0.008,1,0.000275814266257485,0.2561625083863452,0.00252124768145296,0.035379862126174895,0.04916722336980723,0.18222763917186388,8.153555406882642,0.7755622888647272,0.624422221162353,12092.4
0.1,0.008,2,0.0002750864691916168,0.25460631399659206,0.0029561130615482025,0.036922632881586995,0.046960769802757735,0.17809564533060704,8.294742542416573,0.7761247781086023,0.6240917951415946,12119.7
0.1,0.013,1,0.0004406431907784432,0.23233601139315266,0.0018863952940870042,0.03298901515550079,0.043827523274629396,0.22558483374143642,8.092311179393132,0.7680759896027418,0.6289619521947544,12229.9
0.1,0.013,2,0.00044759057931137734,0.2306174343556986,0.0016630671559608138,0.03397084908229099,0.042347272427689854,0.22163880447340797,8.208264259412385,0.7688504005043452,0.6285096668940576,12193.1
0.1,0.02,1,0.0007124552591616767,0.2194636580631666,0.0012574565262505556,0.03295272034524167,0.03978268031400734,0.26863927265047705,8.103864568173222,0.7555200151922843,0.636623368238401,12193.1
0.1,0.02,2,0.0007182978114371257,0.2156878102512901,0.0009544870464488516,0.031534304686930074,0.04004347250284468,0.2706716223485769,8.135793706683009,0.760114017133961,0.6338168037568012,12185.8
0.1,0.03,1,0.0011560090062874252,0.19363280490360094,0.0008107224488422074,0.029706580479884375,0.03456744595846854,0.3231393551796146,8.125109357523533,0.7528060245347886,0.6382871485358044,12117.0
0.1,0.03,2,0.001156208655988024,0.19606708434417772,0.0004600317254125251,0.029564736378527762,0.03563761420031927,0.32295573679960166,8.1793369935282,0.7548423817072827,0.637036807652494,12124.6
0.1,0.05,1,0.0021736989008982036,0.18750230806193036,0.0005324132805720342,0.029978750837058855,0.03234454952135475,0.39006082272452147,8.279736180510971,0.7494146819046288,0.6403669442510749,11900.3
