mu_g,Tgran,seed,mu,Theta,A_c,A_n
1.5,0.02,1,0.3222567185185185,0.0014678307185185186,0.048761782723252954,0.0869908114040375
1.5,0.02,2,0.29859871537037036,0.001508753988888889,0.04519515303321662,0.08078303729325462
1.5,0.02,3,0.3045250477777778,0.0014789925314814812,0.04784373181522188,0.07869249792996189
2.0,0.0005,1,0.33494783666666667,0.00012130840388888888,0.054029081863502235,0.0781636758207161
2.0,0.0005,2,0.3599095722222223,0.00012815695894444445,0.05455765934880213,0.0819079329439984
2.0,0.0005,3,0.3279429462962963,0.00013382993790740741,0.05122648239577246,0.07720946632809889
2.0,0.001,1,0.3205911718518519,0.00019235487185185186,0.05180884323750794,0.0778408078299759
2.0,0.001,2,0.3444755935185186,0.000202876182962963,0.05743265446592203,0.08455303429013336
2.0,0.001,3,0.32059240407407413,0.00020172461166666667,0.051777431840569356,0.07862742046875248
2.0,0.003,1,0.33745065018518516,0.0004211757153703704,0.056608560270334396,0.07905703266657468
2.0,0.003,2,0.3255811785185185,0.0004198880581481482,0.053769761625218765,0.07586548367821522
2.0,0.003,3,0.3340270057407407,0.0004089489518518518,0.053447173787279464,0.08051715995224738
2.0,0.008,1,0.29358233833333336,0.0008563484903703704,0.0493640988207097,0.07577306690550072
2.0,0.008,2,0.3242260972222222,0.0008576197162962962,0.0515113556906127,0.0763070334180633
2.0,0.008,3,0.31297355759259254,0.0008516435364814814,0.051360480160933,0.07849031133416481
2.0,0.02,1,0.30045224777777774,0.0015127334574074076,0.050183527808205224,0.0804211112833492
2.0,0.02,2,0.3013459424074074,0.0016008015370370372,0.04810396813525007,0.0777728853898716
2.0,0.02,3,0.32675046740740743,0.0015614134444444441,0.05341285764647682,0.08582206026637094
