label,mu_g,Tgran,seed,Emod,kt_kn,tau_frames,tau_median,s_slip,s_slip_lw,n_episodes,R_E
k3.0e4_mu1.0_T0.008_s3,1.0,0.008,3,100000.0,0.4095004095004095,31.52107422603506,6.0,0.06537749522702604,0.010348132721162494,16086,0.12078659063779103
k3.0e5_mu0.1_T0.001_s1,0.1,0.001,1,100000.0,4.095004095004095,62.23611249130478,81.0,0.19838666304505045,0.10113654871128341,10063,0.0007508662880146171
k3.0e5_mu0.1_T0.001_s2,0.1,0.001,2,100000.0,4.095004095004095,59.76520237866871,81.0,0.21154659652722416,0.10248558846563699,10426,0.0007418884479032579
k3.0e5_mu0.1_T0.001_s3,0.1,0.001,3,100000.0,4.095004095004095,59.93642447418738,81.0,0.20144696004286086,0.09343073843380893,10460,0.0007107213015591514
k3.0e5_mu0.1_T0.003_s1,0.1,0.003,1,100000.0,4.095004095004095,54.53094686239162,81.0,0.2529984370016326,0.11847186299157314,11649,0.0006493282609736266
k3.0e5_mu0.1_T0.003_s2,0.1,0.003,2,100000.0,4.095004095004095,52.661998833041594,81.0,0.26259464765800267,0.11904822202454629,11997,0.0006631587442568782
k3.0e5_mu0.1_T0.003_s3,0.1,0.003,3,100000.0,4.095004095004095,53.63290601918669,81.0,0.25346354489528117,0.11537937955684441,11779,0.0006557871516309281
k3.0e5_mu0.1_T0.008_s1,0.1,0.008,1,100000.0,4.095004095004095,46.96609057099103,81.0,0.3146388070397924,0.1577884188396481,13713,0.0007224690634867186
k3.0e5_mu0.1_T0.008_s2,0.1,0.008,2,100000.0,4.095004095004095,45.972475091391296,81.0,0.31795516582900935,0.1593405908051927,13951,0.0007213137451591702
k3.0e5_mu0.1_T0.008_s3,0.1,0.008,3,100000.0,4.095004095004095,45.039447869955154,81.0,0.3253941492131362,0.16154716141648373,14272,0.0007365955294524798
k3.0e5_mu0.3_T0.001_s1,0.3,0.001,1,100000.0,4.095004095004095,50.76228310502283,81.0,0.16612337035674737,0.05306136400844117,10950,0.004861235027089477
k3.0e5_mu0.3_T0.001_s2,0.3,0.001,2,100000.0,4.095004095004095,50.09274888828387,81.0,0.1652395389233121,0.052932032784271665,11019,0.004982980661495913
k3.0e5_mu0.3_T0.001_s3,0.3,0.001,3,100000.0,4.095004095004095,49.70717788675881,81.0,0.17104144192816506,0.0516856633409033,11215,0.0046605685753253485
k3.0e5_mu0.3_T0.003_s1,0.3,0.003,1,100000.0,4.095004095004095,42.49633288429876,41.5,0.1996304875045077,0.057491951901605394,13362,0.0043077272403924055
k3.0e5_mu0.3_T0.003_s2,0.3,0.003,2,100000.0,4.095004095004095,42.974580152671756,56.0,0.19561795791126838,0.05524835381114701,13100,0.00420767638747358
k3.0e5_mu0.3_T0.003_s3,0.3,0.003,3,100000.0,4.095004095004095,43.46098143440413,75.0,0.19715544580522495,0.05538785501456129,12981,0.004234072285561528
k3.0e5_mu0.3_T0.008_s1,0.3,0.008,1,100000.0,4.095004095004095,38.87170486157107,14.0,0.21718830106233286,0.06697223476490284,15098,0.0036904426812916905
k3.0e5_mu0.3_T0.008_s2,0.3,0.008,2,100000.0,4.095004095004095,38.54849762783342,12.0,0.21736272736221773,0.06700204440250798,15176,0.0037868687935382335
k3.0e5_mu0.3_T0.008_s3,0.3,0.008,3,100000.0,4.095004095004095,36.13416071982625,9.0,0.2319944840459002,0.07172566812410056,16115,0.003756083893489673
k3.0e5_mu1.0_T0.001_s1,1.0,0.001,1,100000.0,4.095004095004095,44.45814019487276,81.0,0.08421801669302073,0.014660603829630591,10571,0.01655277890553547
k3.0e5_mu1.0_T0.001_s2,1.0,0.001,2,100000.0,4.095004095004095,42.972701542956266,49.0,0.08655598285699215,0.016280700263448626,10953,0.016608834031695142
k3.0e5_mu1.0_T0.001_s3,1.0,0.001,3,100000.0,4.095004095004095,43.05647080358777,56.0,0.08301457977928148,0.015141305387566827,10926,0.016637308560052393
k3.0e5_mu1.0_T0.003_s1,1.0,0.003,1,100000.0,4.095004095004095,34.500467188959966,7.0,0.10224498736391753,0.018372725284111623,13913,0.014660793540447047
k3.0e5_mu1.0_T0.003_s2,1.0,0.003,2,100000.0,4.095004095004095,35.40880177514793,7.0,0.10369260031563803,0.018622304570245673,13520,0.015229557432903641
k3.0e5_mu1.0_T0.003_s3,1.0,0.003,3,100000.0,4.095004095004095,34.05172783859197,6.0,0.10553297251921016,0.018079972097381818,13977,0.015389925360716844
k3.0e5_mu1.0_T0.008_s1,1.0,0.008,1,100000.0,4.095004095004095,26.77673178429559,4.0,0.12020091820772441,0.023774782757135078,18377,0.014823944335466872
k3.0e5_mu1.0_T0.008_s2,1.0,0.008,2,100000.0,4.095004095004095,29.08871158392435,5.0,0.1182083504862209,0.02223369045127707,16920,0.013922894369078183
k3.0e5_mu1.0_T0.008_s3,1.0,0.008,3,100000.0,4.095004095004095,26.222631293990254,4.0,0.12531644617940607,0.025691054896228208,18470,0.014118973981693815
