mu_g,Tgran,seed,Theta,mu,mu_n,mu_t,A_c,A_n
0.3,0.001,1,6.754900794011977e-05,0.5196105777584967,0.4672242957326206,0.05238628202587607,0.06413055628985896,0.09161087596967171
0.3,0.001,2,7.198735069760479e-05,0.5078717434360447,0.45516810473532904,0.052703638700715594,0.0633241314714616,0.08839857166329546
0.3,0.003,1,0.00016767661449101795,0.4928606420921837,0.44533382620729184,0.04752681588489195,0.059677539878572106,0.08876706861025158
0.3,0.003,2,0.00017396984215568866,0.4925591056065534,0.4471133608005775,0.045445744805975935,0.059728761190800596,0.0893090266339271
0.3,0.005,1,0.00024758245889221556,0.46831316840550014,0.4288002443364507,0.03951292406904945,0.056909423133076675,0.08602399024227209
0.3,0.005,2,0.00024365174511976046,0.46488602874743745,0.42566334544649553,0.039222683300941974,0.056259639773773934,0.08562813977782294
0.3,0.008,1,0.0003626934544011976,0.442610400582841,0.40884684270361066,0.03376355787923036,0.053553863452511785,0.08272841556950519
0.3,0.008,2,0.0003756238039820359,0.44219116224946226,0.40944246414925445,0.032748698100207786,0.05386214503536741,0.08261867673992458
0.3,0.013,1,0.0005276291430838323,0.4111412686255972,0.38603460731628964,0.025106661309307512,0.05188200088230391,0.07679620008299046
0.3,0.013,2,0.0005198430899700599,0.4119496698605705,0.38688852138001595,0.02506114848055468,0.05311513956323261,0.07584770159777239
0.3,0.02,1,0.00073449495751497,0.38406365777666895,0.36576114798041315,0.018302509796255834,0.05011173256152956,0.0718086492978333
0.3,0.02,2,0.0007370109808982037,0.37650349488284396,0.35642035997624266,0.02008313490660123,0.04965053618366684,0.06915625165802033
0.3,0.03,1,0.0010100710326946107,0.3323772298328512,0.32079675284356324,0.011580476989287903,0.04578160662716486,0.061150642327071514
0.3,0.03,2,0.0010252188981736527,0.3368745903542107,0.32575323878094076,0.011121351573269883,0.04705544757026694,0.061528964887587384
0.3,0.05,1,0.001617126144011976,0.2782571586306927,0.27171953004242055,0.0065376285882722245,0.040514735670473534,0.05005844207925039
0.3,0.05,2,0.0015879897059880238,0.2860984018361247,0.28116377700533973,0.004934624830784913,0.04118632825029058,0.05253493108500378
0.3,0.08,1,0.002497010274550898,0.23154694420021407,0.22846527372989958,0.003081670470314497,0.03663810541738279,0.039516985250923606
0.3,0.08,2,0.0025240373311377247,0.25247458001890133,0.24997141055973726,0.0025031694591641307,0.0404015574168068,0.042922247802317494
