P,mu_g,Tgran,seed,mu,a_c,a_n,a_t,Theta
5.0,0.3,0.0025,4,0.23038935336248936,0.15875735383257517,0.2610259212699818,0.03340816143278794,0.00016827738428571427
5.0,0.3,0.006500000000000001,1,0.18446333225495848,0.12075248930463818,0.2223705402550769,0.019428460465029686,0.00034252555214285714
5.0,0.3,0.006500000000000001,2,0.2003072817435254,0.14179212099789318,0.23491080391242983,0.01994363074502569,0.00034076791035714287
5.0,0.3,0.006500000000000001,3,0.18255420198105418,0.12308047003529222,0.2159036299026701,0.01977625031586662,0.0003625549310714285
5.0,0.3,0.006500000000000001,4,0.19236412032629477,0.13302526412569562,0.22843863018349472,0.01679507579760899,0.0003691407385714286
5.0,0.3,0.015,1,0.15621583941894354,0.11819068818037899,0.1788635123488545,0.009105330058817621,0.0007299080642857143
5.0,0.3,0.015,2,0.16070782019526045,0.11958503200767777,0.18772145056142625,0.008477760160427322,0.000727483175
5.0,0.3,0.015,3,0.1562228834897079,0.11928766181252966,0.17753234784741226,0.009051215567806102,0.0007228409996428572
5.0,0.3,0.015,4,0.15019122014491537,0.10878072409905482,0.17941590796141887,0.008667188218342468,0.0007434479407142856
5.0,0.3,0.03,1,0.12481153452185205,0.10401340744565617,0.13444337209992424,0.004142213316203418,0.0014157334714285715
5.0,0.3,0.03,2,0.1279470968254489,0.10610694935014958,0.14108710269196206,0.003811947190981324,0.001395989682142857
5.0,0.3,0.03,3,0.1274967138657435,0.10114033756183821,0.14084804456010167,0.004423297405526078,0.001423971839285714
5.0,0.3,0.03,4,0.12486606305305663,0.11274656045535231,0.1280530387994811,0.0046195146196876015,0.001408576242857143
5.0,0.3,0.06,1,0.11125767113285237,0.10586501439570856,0.11074250838378727,0.0028711790923093383,0.0029693713392857147
5.0,0.3,0.06,2,0.11595367498744441,0.1181928309916264,0.10406054777900547,0.0033213386833138283,0.0030042385428571427
5.0,0.3,0.06,3,0.11481729546707752,0.11145331376567899,0.1081623871883586,0.002506671204359461,0.0030173841428571433
5.0,0.3,0.06,4,0.10780244295983664,0.10119039632764641,0.10922879358543933,0.0029668053172240225,0.0030306730321428567
5.0,0.3,0.125,1,0.09584211047125073,0.1104705318427511,0.0783798509726705,0.0005882782837651104,0.0076912802749999985
5.0,0.3,0.125,2,0.09459256966385934,0.10683775695831912,0.07476714875011813,0.003744102227124518,0.00755175574642857
5.0,0.3,0.125,3,0.09100265412126303,0.10178540029836752,0.07330934907108025,0.0012648673599255575,0.007538524817857142
5.0,0.3,0.125,4,0.08985811513408298,0.09959314647366597,0.07390023105437543,0.0022530835505580335,0.007793213710714285
5.0,0.5,0.00075,1,0.3369463207641698,0.3781992363024975,0.2844772112246068,0.004407120314209783,5.7403904392857146e-05
5.0,0.5,0.00075,2,0.37577644507778124,0.4324349682496778,0.3037178290003875,0.006175463529385055,5.584837910714285e-05
5.0,0.5,0.00075,3,0.40450490968189895,0.4581235350176702,0.33678103055525976,0.005942165228570274,6.176507496428572e-05
5.0,0.5,0.00075,4,0.40398951285739043,0.4549478108222723,0.3416790377036163,0.0028862657669116295,5.716064671428571e-05
5.0,0.5,0.0005,1,0.23148802250398076,0.2449477930057566,0.19971387335625077,0.00755040560683516,5.5956884142857144e-05
5.0,0.5,0.0005,2,0.27987258314064545,0.1443962989352796,0.40966918001512975,0.0019072486822978782,5.878683682142857e-05
5.0,0.5,0.0005,3,0.27139241813105186,0.1373022356091392,0.39466312368026113,0.0056536179604794535,5.763777235714285e-05
5.0,0.5,0.0005,4,0.35153104054629963,0.3940104069558368,0.2963126113580954,0.005228977208203132,6.039516482142857e-05
5.0,0.5,0.0015,1,0.2573100767464108,0.18684842773894164,0.2619315149532837,0.057843788829965735,0.00014921076928571428
5.0,0.5,0.0015,2,0.2260027655125016,0.14671218552329748,0.24363243345895733,0.05696885116996601,0.0001455933942857143
5.0,0.5,0.0015,3,0.25443888817788807,0.17137803606609092,0.26959816686796984,0.059955154229981183,0.00014335486785714284
5.0,0.5,0.0015,4,0.2590846900132838,0.1801245964562629,0.2687498911224882,0.06425652395266626,0.00014199868464285714
5.0,0.5,0.0025,1,0.2530648210481321,0.17903344631883195,0.2625578084965586,0.055519641091894674,0.00022010649392857143
5.0,0.5,0.0025,2,0.21988114048093557,0.144044817908124,0.2330651379350497,0.05639570749123773,0.0002071521028571429
5.0,0.5,0.0025,3,0.24470288400917775,0.16440648572727784,0.2666085375639128,0.050729525534325845,0.0002104280467857143
5.0,0.5,0.0025,4,0.24557968613375664,0.1774071911448815,0.2559389213119554,0.05482865642340203,0.00021486121107142857
5.0,0.5,0.006500000000000001,1,0.2183920979031908,0.1604839468351973,0.23226378369745346,0.03646407085683023,0.000449026595
5.0,0.5,0.006500000000000001,2,0.20157745156276194,0.1363111407881692,0.2266648765608291,0.03688084056369575,0.00045977243285714276
5.0,0.5,0.006500000000000001,3,0.22009692567887254,0.15039098494050554,0.24817883017542014,0.0374142028048352,0.00044401129464285717
5.0,0.5,0.006500000000000001,4,0.21443492911160358,0.15430722004352623,0.22985698822985137,0.03791865578971517,0.0004352727150000001
5.0,0.5,0.015,1,0.1927964989348624,0.15059366299912483,0.20590564677263135,0.023055384094726482,0.0008532647367857142
5.0,0.5,0.015,2,0.17987347374293658,0.13078607802557177,0.20067629613635227,0.021111732355608207,0.0008512159878571428
5.0,0.5,0.015,3,0.18541455326522385,0.13428728425916825,0.21002350224435037,0.021421645267310614,0.0008376942242857142
5.0,0.5,0.015,4,0.18847116997269497,0.1386209034701214,0.21229527906427817,0.020343317206358957,0.0008455329735714286
5.0,0.5,0.03,1,0.15724819722028227,0.12666977225473217,0.16894126357581418,0.01229458895937219,0.0014955017499999998
5.0,0.5,0.03,2,0.16044001485032242,0.1259540167034102,0.18013000757556996,0.00935762928280684,0.001483323525
5.0,0.5,0.03,3,0.15438685534730964,0.125442609261753,0.16815937673263606,0.010582502851637452,0.001457357825
5.0,0.5,0.03,4,0.153599547240949,0.12869364139111042,0.1652983205945024,0.009985560727202211,0.0015081058142857144
5.0,0.5,0.06,1,0.1280817157627919,0.11779538885013603,0.12411284105140862,0.007593407639972167,0.002911069803571429
5.0,0.5,0.06,2,0.10358102366793026,0.09509194257526404,0.10511291544259843,0.006242599637173275,0.002922223982142857
5.0,0.5,0.06,3,0.12285411754989095,0.1113209367008464,0.12251458837542525,0.006904458735851333,0.0030463583357142857
