mu_g,Tgran,seed,mu,Theta,a_c,a_n,a_t
0.12,0.005,2,0.16837598499999998,0.0002761472788888889,0.11948217921870172,0.2131884025432072,0.004081388238091038
0.12,0.005,3,0.1636276574074074,0.0002770314544444445,0.11990454364772277,0.20004690257179067,0.007303868595301355
0.12,0.005,4,0.1602543577777778,0.0002862010098148148,0.10968529942879739,0.20661255892420125,0.004210857202556956
0.12,0.005,5,0.16894541833333332,0.0002934331568518519,0.11352041568441806,0.2104577525773658,0.013912668404882783
0.12,0.008,1,0.1473281524074074,0.00042910798037037036,0.10049035543204812,0.18993879437428912,0.004227155008477562
0.12,0.008,2,0.15354252277777777,0.0004378677768518518,0.11224327912960994,0.1899122401472145,0.004929526278731111
0.12,0.008,3,0.15932887259259257,0.00043426238870370365,0.11379021097686923,0.19845493062508562,0.006412603583230286
0.12,0.008,4,0.14812035685185185,0.00043593822388888895,0.10426545636560822,0.19159786122359085,0.00037739611450463006
0.12,0.008,5,0.15149852999999996,0.0004348673561111111,0.10339109142964405,0.19552700352762495,0.004078965042730948
0.12,0.013,1,0.12789191833333333,0.0006937620090740739,0.09386866871025172,0.1569811371503888,0.004934030806026113
0.12,0.013,2,0.1427542575925926,0.0006546266505555557,0.10459485253531334,0.17224880661179834,0.008664856038073543
0.12,0.013,3,0.13018509092592592,0.0006707235031481482,0.10029487836486202,0.15551659209765195,0.004558711389337888
0.12,0.013,4,0.1393241838888889,0.0006668624151851851,0.10089275986654773,0.1732485699402287,0.004507037971001382
0.12,0.013,5,0.14216457055555556,0.0006768136370370372,0.0945047876386186,0.1821060020318382,0.0077183514406543585
0.12,0.02,1,0.13109913925925928,0.0010810784427777778,0.09677397502187414,0.16602753712538093,-0.0006032336287364881
0.12,0.02,2,0.12731479222222222,0.0010737473342592593,0.10147903422569102,0.14978871765505883,0.0033618325636946
0.12,0.02,3,0.1276777127777778,0.0010623335511111111,0.10001122381013208,0.15307332653454328,0.0022708752108802632
0.12,0.02,4,0.13240284481481482,0.0010737723937037037,0.09682257773062736,0.1650907924000415,0.0028923194989607937
0.12,0.02,5,0.12860626277777776,0.0010826610133333333,0.09363444310687799,0.16014728334923406,0.0034307990994434656
0.12,0.03,1,0.11112576277777778,0.0016322383462962957,0.09009646860799739,0.12830949523362678,0.0038455617139313836
0.12,0.03,2,0.12103668000000001,0.001639503225925926,0.0975678962318677,0.14042831445525386,0.0040771493128784475
0.12,0.03,3,0.11459777737037037,0.0016478665296296299,0.0988335667220164,0.1349869988979225,-0.0046250108791981714
0.12,0.03,4,0.11761820574074074,0.0016688979722222223,0.09608897516490902,0.1344170611265025,0.004730375190069941
0.12,0.03,5,0.12326241370370371,0.0016482489222222221,0.093609777908345,0.14696292117850254,0.005952128320559885
0.13,0.0015,1,0.1969178587037037,9.937270585185186e-05,0.12393280357041761,0.25652206644320424,0.013380847393785589
0.13,0.0015,2,0.2012755801851852,0.00010127641777777774,0.14090968119185876,0.24980238701995439,0.011839092158557274
0.13,0.0015,3,0.2085734637037037,0.00011022635118518519,0.14964492948346256,0.2458395432836455,0.02166245464029931
0.13,0.0015,4,0.20985637814814814,0.000104474717,0.13370457755016782,0.2682291774941121,0.01777900125201637
0.13,0.0015,5,0.2018622051851852,0.00010799164962962965,0.13754346277539153,0.2549884927438324,0.01119245485114645
0.13,0.001,1,0.20365720296296297,7.445774088888888e-05,0.13169921270713597,0.26157236099004455,0.014042832228745417
0.13,0.001,2,0.21037939037037034,7.466385957407407e-05,0.14873565151778728,0.2587142756471522,0.013308853575801194
0.13,0.001,3,0.2188917933333333,7.54644065e-05,0.15020324515329192,0.26632547989798966,0.021254861615385034
0.13,0.001,4,0.2043995438888889,8.2177958e-05,0.13216333561448826,0.2568497600358222,0.01978599212746729
0.13,0.001,5,0.2074657624074074,7.725637624074073e-05,0.1351462113366524,0.2644232298753891,0.015362083602773358
0.13,0.003,1,0.16906752481481482,0.00017821981796296296,0.11826863357074953,0.2120725208142066,0.007793895244673527
0.13,0.003,2,0.18679043185185182,0.00018343233037037036,0.13166652848769342,0.23211265957984412,0.009801675636166102
0.13,0.003,3,0.19368900759259258,0.00018098481074074074,0.12991514432196322,0.2414593492240275,0.01600352163919444
0.13,0.003,4,0.18149646388888893,0.0001849871081481482,0.12276470789462919,0.22628589329725374,0.013942326585894949
0.13,0.003,5,0.19539948814814814,0.00018884221351851848,0.13461650734002067,0.2456109554803688,0.010571513475906819
0.13,0.005,1,0.15060289425925927,0.0002879766737037037,0.1076895573045273,0.18538397754129385,0.008132253672697404
0.13,0.005,2,0.1718859509259259,0.0002802879664814815,0.12860808630844758,0.20972134906167797,0.005442466481726249
0.13,0.005,3,0.16991160166666666,0.0002836270479629629,0.12418740261078096,0.2083417400537265,0.007294060668825875
0.13,0.005,4,0.17616677074074072,0.00028944630074074075,0.12465396679883103,0.21713175818352237,0.010547816499128032
0.13,0.005,5,0.17554598907407407,0.00029125050833333333,0.12341078240432721,0.21677371022823694,0.010907485515583987
0.13,0.008,1,0.15126590203703708,0.0004281944818518519,0.10361793921483922,0.19697965833373188,0.0019342065255030516
0.13,0.008,2,0.15040515925925926,0.0004297619490740741,0.09720583138107483,0.196068956571422,0.0075355305660216865
0.13,0.008,3,0.15234841962962964,0.000438184335925926,0.10544987423787722,0.18901733654397546,0.010229628477406605
0.13,0.008,4,0.16198455703703699,0.0004478167366666667,0.11051821328882568,0.20519358901706478,0.008257311768183534
0.13,0.008,5,0.16042276148148152,0.00044385011703703705,0.11795510165215121,0.19759346163642624,0.005296959674385565
0.13,0.013,1,0.13037287314814816,0.0006868210212962964,0.09246339819455439,0.16967423306681975,-0.001391884965077833
0.13,0.013,2,0.12569691629629626,0.000702389085925926,0.09142258151807502,0.1577575798491866,0.0022136712253308932
0.13,0.013,3,0.13842051907407407,0.0006813564846296297,0.0996301217755231,0.17579046165397397,0.0014204547186510708
0.13,0.013,4,0.14525309685185184,0.0006917671388888889,0.10382940325766062,0.1805565947927681,0.006120195653274985
