mu_g,Tgran,seed,mu,Theta,a_c,a_n,a_t
0.11,0.001,4,0.1908421796296296,7.30499647037037e-05,0.1336065574712735,0.2394484987780309,0.008629303009954792
0.11,0.001,5,0.2136092322222222,7.092670327777777e-05,0.1436416666252287,0.26264287484852533,0.020933922970690355
0.11,0.003,1,0.18280781166666668,0.00017527359851851853,0.11480427441967767,0.24075021263940707,0.010061136274248622
0.11,0.003,2,0.16435741981481478,0.0001836128524074074,0.12000539319524176,0.20077237587826233,0.00793707055612547
0.11,0.003,3,0.18078155111111116,0.00017873477129629628,0.1334138097000939,0.21983405231746467,0.00831524020466376
0.11,0.003,4,0.17815507907407405,0.00018114805074074075,0.11974979134980226,0.2364603612893997,0.00010000550894612159
0.11,0.003,5,0.18228765500000005,0.00018219375370370368,0.12453721999399639,0.2262267963055729,0.013811293700430799
0.11,0.005,1,0.16028908796296298,0.00028301246462962966,0.11768321580219032,0.19925700132332447,0.0036379588004111785
0.11,0.005,2,0.16559220518518517,0.00028469453314814813,0.11854638808372597,0.20774150176659,0.004896520520054348
0.11,0.005,3,0.1594325512962963,0.00028124602444444443,0.11299025991889992,0.19661843752171074,0.009256405151981922
0.11,0.005,4,0.15743695333333335,0.0002810294348148148,0.11139630120084139,0.20051219456948655,0.0029654108963387826
0.11,0.005,5,0.16475096314814816,0.0002846819953703704,0.1107915866198862,0.20843537293435585,0.010274966742054276
0.11,0.008,1,0.1427108148148148,0.0004414111790740741,0.10738584319838743,0.17905891381338468,-0.0010231273821425246
0.11,0.008,2,0.14536819574074072,0.0004362586188888889,0.1065775910392508,0.1816257296222264,0.0025330708200042573
0.11,0.008,3,0.15086709092592596,0.0004296816118518519,0.11346735435820128,0.1858949947608382,0.00237183273281244
0.11,0.008,4,0.15173556666666668,0.0004407838185185185,0.10671220029798342,0.19211673546012148,0.004642197575228463
0.11,0.008,5,0.15011844296296298,0.0004355557607407408,0.11006945934194182,0.1844282787026904,0.0057391478812937324
0.11,0.013,1,0.14062002703703705,0.0006927160724074073,0.1083440598213837,0.17071434226962445,0.002181651983065941
0.11,0.013,2,0.12540610092592594,0.0007121641264814813,0.09689402846039082,0.149554805704403,0.004363367687058084
0.11,0.013,3,0.13211449611111112,0.000681866128888889,0.09861510924339478,0.16256033770348588,0.0030535452753415737
0.11,0.013,4,0.1397702688888889,0.0007007627862962962,0.10372370755922707,0.17271942707532711,0.0030974031432236537
0.11,0.013,5,0.1300128712962963,0.0006953956753703703,0.09717759014304615,0.1569068927874869,0.005941259662059523
