mu_g,Tgran,seed,chi,E
0.3,0.003,2,0.06528910238070114,30000.0
0.3,0.005,1,0.06819307546884694,30000.0
0.3,0.005,2,0.0672082952723725,30000.0
0.3,0.008,1,0.07178865707917848,30000.0
0.3,0.008,2,0.0721585857845628,30000.0
0.3,0.013,1,0.07712928179298803,30000.0
0.3,0.013,2,0.07685291333638147,30000.0
0.3,0.02,1,0.08318876605954756,30000.0
0.3,0.02,2,0.08370896686773963,30000.0
0.3,0.03,1,0.09301903353341903,30000.0
0.3,0.03,2,0.09330085925447217,30000.0
1.0,0.0005,1,0.016982929455160726,30000.0
1.0,0.0005,2,0.010924582634706899,30000.0
1.0,0.0015,1,0.022336217712556273,30000.0
1.0,0.0015,2,0.014563752543408864,30000.0
1.0,0.001,1,0.02138460490306055,30000.0
1.0,0.001,2,0.014803079143371927,30000.0
1.0,0.003,1,0.0220650064963873,30000.0
1.0,0.003,2,0.01494420848906873,30000.0
1.0,0.005,1,0.022292644561813485,30000.0
1.0,0.005,2,0.016096989007259335,30000.0
1.0,0.008,1,0.024292839139943782,30000.0
1.0,0.008,2,0.0173522600195342,30000.0
1.0,0.013,1,0.02675841378230888,30000.0
1.0,0.013,2,0.01875028454122958,30000.0
1.0,0.02,1,0.02898540408704345,30000.0
1.0,0.02,2,0.02211601270453529,30000.0
1.0,0.03,1,0.03126651359975125,30000.0
1.0,0.03,2,0.024818815872218923,30000.0
0.1,0.0005,1,0.29752688573269714,300000.0
0.1,0.0005,2,0.2916399206541704,300000.0
0.1,0.0015,1,0.09343708345088851,300000.0
0.1,0.0015,2,0.09327095529619193,300000.0
0.1,0.001,1,0.09118165419037498,300000.0
0.1,0.001,2,0.09073647514722596,300000.0
0.1,0.003,1,0.10606765601791843,300000.0
0.1,0.003,2,0.10629154916327431,300000.0
0.1,0.005,1,0.12291332709666442,300000.0
0.1,0.005,2,0.12319894579661189,300000.0
0.1,0.008,1,0.14353853308032263,300000.0
0.1,0.008,2,0.14363007004759995,300000.0
0.1,0.013,1,0.17242821133632075,300000.0
0.1,0.013,2,0.1720436801457571,300000.0
0.1,0.02,1,0.2025654091286564,300000.0
0.1,0.02,2,0.20285933120633076,300000.0
0.1,0.03,1,0.23555267970076957,300000.0
0.1,0.03,2,0.23668362715559574,300000.0
0.3,0.0005,1,0.14301198596041959,300000.0
0.3,0.0005,2,0.14529104886411492,300000.0
0.3,0.0015,1,0.05474433755815846,300000.0
0.3,0.0015,2,0.05377913248265011,300000.0
0.3,0.001,1,0.055668226052961525,300000.0
0.3,0.001,2,0.056474209884840997,300000.0
0.3,0.003,1,0.0557567662205393,300000.0
0.3,0.003,2,0.05485892014846138,300000.0
0.3,0.005,1,0.059439125287396734,300000.0
0.3,0.005,2,0.05817327526756692,300000.0
0.3,0.008,1,0.063846356264123,300000.0
0.3,0.008,2,0.06358912106628424,300000.0
0.3,0.013,1,0.07249668570079436,300000.0
0.3,0.013,2,0.07191617204133119,300000.0
0.3,0.02,1,0.0831761369880367,300000.0
0.3,0.02,2,0.08282814225760654,300000.0
0.3,0.03,1,0.09727408924526076,300000.0
0.3,0.03,2,0.09575704749286071,300000.0
1.0,0.0005,1,0.02688816783594797,300000.0
1.0,0.0005,2,0.02680357831402577,300000.0
1.0,0.0015,1,0.024502342537271397,300000.0
1.0,0.0015,2,0.024384545109871755,300000.0
1.0,0.001,1,0.02447607699527547,300000.0
1.0,0.001,2,0.023946081678910557,300000.0
1.0,0.003,1,0.026272316214398683,300000.0
1.0,0.003,2,0.025294528361403865,300000.0
1.0,0.005,1,0.026993711850232867,300000.0
