mu_g,Tgran,seed,Theta,mu,mu_t,A_c,A_n,chi,f_mean,cv_f,pr_f,ncon,E
0.1,0.001,2,4.3408896116766466e-05,0.3508209489197296,0.012814072275401397,0.044236676223227404,0.06843228263582321,0.09765486189616154,8.674612156001135,0.8294547003024991,0.5924304334912389,11543.8,100000.0
0.1,0.003,1,0.00011303789440419161,0.31974426165804165,0.007085655932769519,0.04290215989397088,0.061317375703866264,0.12334056394320558,8.477647558326293,0.8053181038340613,0.606610191336133,11830.7,100000.0
0.1,0.003,2,0.00011266307669461077,0.30762964528053605,0.007291117058438465,0.04130994782658082,0.05880289568023191,0.12052699572054186,8.457783417805363,0.7979427681116688,0.6109996704721573,11841.2,100000.0
0.1,0.005,1,0.00017777013017964072,0.2873725551763092,0.004760724890375542,0.03903338055752066,0.05517055966237403,0.14989318041789945,8.325112321168584,0.791874588962702,0.6146094874976421,11956.5,100000.0
0.1,0.005,2,0.00017903880332335327,0.283330330646717,0.0048009233275339664,0.03876171986401025,0.054081416881234134,0.1476575249955415,8.28897729131021,0.7894091069992977,0.6160839582170226,11968.7,100000.0
0.1,0.008,1,0.000275814266257485,0.2561625083863452,0.00252124768145296,0.035379862126174895,0.04916722336980723,0.18222763917186388,8.153555406882642,0.7755622888647272,0.624422221162353,12092.4,100000.0
0.1,0.008,2,0.0002750864691916168,0.25460631399659206,0.0029561130615482025,0.036922632881586995,0.046960769802757735,0.17809564533060704,8.294742542416573,0.7761247781086023,0.6240917951415946,12119.7,100000.0
0.1,0.013,1,0.0004406431907784432,0.23233601139315266,0.0018863952940870042,0.03298901515550079,0.043827523274629396,0.22558483374143642,8.092311179393132,0.7680759896027418,0.6289619521947544,12229.9,100000.0
0.1,0.013,2,0.00044759057931137734,0.2306174343556986,0.0016630671559608138,0.03397084908229099,0.042347272427689854,0.22163880447340797,8.208264259412385,0.7688504005043452,0.6285096668940576,12193.1,100000.0
0.1,0.02,1,0.0007124552591616767,0.2194636580631666,0.0012574565262505556,0.03295272034524167,0.03978268031400734,0.26863927265047705,8.103864568173222,0.7555200151922843,0.636623368238401,12193.1,100000.0
0.1,0.02,2,0.0007182978114371257,0.2156878102512901,0.0009544870464488516,0.031534304686930074,0.04004347250284468,0.2706716223485769,8.135793706683009,0.760114017133961,0.6338168037568012,12185.8,100000.0
0.1,0.03,1,0.0011560090062874252,0.19363280490360094,0.0008107224488422074,0.029706580479884375,0.03456744595846854,0.3231393551796146,8.125109357523533,0.7528060245347886,0.6382871485358044,12117.0,100000.0
0.1,0.03,2,0.001156208655988024,0.19606708434417772,0.0004600317254125251,0.029564736378527762,0.03563761420031927,0.32295573679960166,8.1793369935282,0.7548423817072827,0.637036807652494,12124.6,100000.0
0.1,0.05,1,0.0021736989008982036,0.18750230806193036,0.0005324132805720342,0.029978750837058855,0.03234454952135475,0.39006082272452147,8.279736180510971,0.7494146819046288,0.6403669442510749,11900.3,100000.0
0.1,0.05,2,0.0021543380386227543,0.17519096517157345,0.00035638139293431813,0.02871589204332038,0.029562302625815273,0.3876929539028641,8.289715524035474,0.7464744540224945,0.6421729165080732,11948.1,100000.0
0.1,0.08,1,0.004017440397305389,0.1674441355583092,0.00025591240409386304,0.028424043968526824,0.02730536327835494,0.4499338478936621,8.480461156199121,0.7510478165292465,0.6393618792367977,11530.8,100000.0
0.1,0.08,2,0.003997348501497007,0.1766654792294838,0.00037352363559276923,0.029866823041492307,0.02889716146284525,0.44883722805142307,8.55322731287546,0.7511630091283038,0.6392935051168048,11533.2,100000.0
0.1,0.12,1,0.006766835840419162,0.1653526507642436,0.0004998585424440478,0.029827555448715633,0.025123374773943018,0.4999312312900878,8.901542218810647,0.7554554310846027,0.6366573055606878,11102.9,100000.0
0.1,0.12,2,0.006825958865568862,0.16521578905217021,0.0005266579679551641,0.030182808258522386,0.02471356867116965,0.49915933449992567,8.90068420391038,0.755095299828924,0.6368795110641238,11059.5,100000.0
0.3,0.0005,1,0.00010019622325748504,0.5358941807650199,0.0474455342770131,0.06835046071706469,0.09446575531211732,0.08472823655918829,8.529989957438577,0.9168014621269434,0.5435203860149878,9748.3,100000.0
